,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823200257,24.0,15.0,2,True,1st 19:33:00 : made by Chilaydrien Newton(Abilene Christian) 0-3,period_1 player_785993330 team_2,False,785993330,1,19:33:00,Chilaydrien Newton,Abilene Christian,0-3,made,76.0,35.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
1,2823200259,93.0,63.0,8530,True,1st 19:18:00 : made by Jordan Malveaux(McMurry) 2-3,period_1 player_785993348 team_8530,False,785993348,1,19:18:00,Jordan Malveaux,McMurry,2-3,made,93.0,63.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
2,2823200260,36.0,25.0,2,False,1st 18:58:00 : missed by Chilaydrien Newton(Abilene Christian) 2-3,period_1 player_785993330 team_2,False,785993330,1,18:58:00,Chilaydrien Newton,Abilene Christian,2-3,missed,64.0,25.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
3,2823200262,95.0,66.0,8530,False,1st 18:36:00 : missed by Jordan Malveaux(McMurry) 2-3,period_1 player_785993348 team_8530,False,785993348,1,18:36:00,Jordan Malveaux,McMurry,2-3,missed,95.0,66.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
4,2823200265,32.0,19.0,2,False,1st 18:23:00 : missed by Zy Wright(Abilene Christian) 2-3,period_1 player_785993331 team_2,False,785993331,1,18:23:00,Zy Wright,Abilene Christian,2-3,missed,68.0,31.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
5,2823200267,72.0,15.0,8530,True,1st 18:07:00 : made by Amari Leflore(McMurry) 5-3,period_1 player_785993343 team_8530,False,785993343,1,18:07:00,Amari Leflore,McMurry,5-3,made,72.0,15.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
6,2823200269,10.0,48.0,2,False,1st 17:51:00 : missed by Rich Smith(Abilene Christian) 5-3,period_1 player_785993327 team_2,False,785993327,1,17:51:00,Rich Smith,Abilene Christian,5-3,missed,90.0,2.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
7,2823200280,6.0,98.0,2,True,1st 16:59:00 : made by Joseph Venzant(Abilene Christian) 5-6,period_1 player_785993326 team_2,False,785993326,1,16:59:00,Joseph Venzant,Abilene Christian,5-6,made,94.0,-48.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
8,2823200291,95.0,54.0,8530,True,1st 16:11:00 : made by Koye Rondeno(McMurry) 7-8,period_1 player_785993351 team_8530,False,785993351,1,16:11:00,Koye Rondeno,McMurry,7-8,made,95.0,54.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
9,2823200293,96.0,50.0,8530,False,1st 16:06:00 : missed by JaRayl Peoples(McMurry) 7-8,period_1 player_785993345 team_8530,False,785993345,1,16:06:00,JaRayl Peoples,McMurry,7-8,missed,96.0,50.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
10,2823200295,6.0,51.0,2,True,1st 15:59:00 : made by Rich Smith(Abilene Christian) 7-10,period_1 player_785993327 team_2,False,785993327,1,15:59:00,Rich Smith,Abilene Christian,7-10,made,94.0,-1.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
11,2823200297,65.0,67.0,8530,False,1st 15:50:00 : missed by Amari Leflore(McMurry) 7-10,period_1 player_785993343 team_8530,False,785993343,1,15:50:00,Amari Leflore,McMurry,7-10,missed,65.0,67.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
12,2823200299,8.0,53.0,2,False,1st 15:49:00 : missed by Rich Smith(Abilene Christian) 7-10,period_1 player_785993327 team_2,False,785993327,1,15:49:00,Rich Smith,Abilene Christian,7-10,missed,92.0,-3.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
13,2823200308,7.0,49.0,2,True,1st 15:33:00 : made by Bradyn Hubbard(Abilene Christian) 7-12,period_1 player_785993333 team_2,False,785993333,1,15:33:00,Bradyn Hubbard,Abilene Christian,7-12,made,93.0,1.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
14,2823200309,66.0,46.0,8530,False,1st 15:15:00 : missed by JaRayl Peoples(McMurry) 7-12,period_1 player_785993345 team_8530,False,785993345,1,15:15:00,JaRayl Peoples,McMurry,7-12,missed,66.0,46.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
15,2823200311,8.0,47.0,2,True,1st 15:06:00 : made by Christian Alston(Abilene Christian) 7-14,period_1 player_785993332 team_2,False,785993332,1,15:06:00,Christian Alston,Abilene Christian,7-14,made,92.0,3.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
16,2823200313,79.0,8.0,8530,False,1st 14:44:00 : missed by Amari Leflore(McMurry) 7-14,period_1 player_785993343 team_8530,False,785993343,1,14:44:00,Amari Leflore,McMurry,7-14,missed,79.0,8.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
17,2823200322,93.0,65.0,8530,False,1st 14:16:00 : missed by Koye Rondeno(McMurry) 7-14,period_1 player_785993351 team_8530,False,785993351,1,14:16:00,Koye Rondeno,McMurry,7-14,missed,93.0,65.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
18,2823200325,8.0,53.0,2,False,1st 14:04:00 : missed by Cade Hornecker(Abilene Christian) 7-14,period_1 player_785993328 team_2,False,785993328,1,14:04:00,Cade Hornecker,Abilene Christian,7-14,missed,92.0,-3.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
19,2823200327,6.0,50.0,2,False,1st 13:59:00 : missed by Cade Hornecker(Abilene Christian) 7-14,period_1 player_785993328 team_2,False,785993328,1,13:59:00,Cade Hornecker,Abilene Christian,7-14,missed,94.0,0.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
20,2823200329,93.0,57.0,8530,False,1st 13:35:00 : missed by Dirk Johnson(McMurry) 7-14,period_1 player_785993350 team_8530,False,785993350,1,13:35:00,Dirk Johnson,McMurry,7-14,missed,93.0,57.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
21,2823200335,18.0,43.0,2,True,1st 13:13:00 : made by Joseph Scott(Abilene Christian) 7-16,period_1 player_785993337 team_2,False,785993337,1,13:13:00,Joseph Scott,Abilene Christian,7-16,made,82.0,7.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
22,2823200337,94.0,96.0,8530,False,1st 12:54:00 : missed by Jordan Willis(McMurry) 7-16,period_1 player_785993342 team_8530,False,785993342,1,12:54:00,Jordan Willis,McMurry,7-16,missed,94.0,96.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
23,2823200339,6.0,96.0,2,False,1st 12:35:00 : missed by Bradyn Hubbard(Abilene Christian) 7-16,period_1 player_785993333 team_2,False,785993333,1,12:35:00,Bradyn Hubbard,Abilene Christian,7-16,missed,94.0,-46.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
24,2823200352,7.0,50.0,2,True,1st 12:15:00 : made by Joseph Scott(Abilene Christian) 7-18,period_1 player_785993337 team_2,False,785993337,1,12:15:00,Joseph Scott,Abilene Christian,7-18,made,93.0,0.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
25,2823200353,80.0,52.0,8530,False,1st 12:02:00 : missed by Koye Rondeno(McMurry) 7-18,period_1 player_785993351 team_8530,False,785993351,1,12:02:00,Koye Rondeno,McMurry,7-18,missed,80.0,52.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
26,2823200356,8.0,50.0,2,True,1st 11:54:00 : made by Rich Smith(Abilene Christian) 7-20,period_1 player_785993327 team_2,False,785993327,1,11:54:00,Rich Smith,Abilene Christian,7-20,made,92.0,0.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
27,2823200360,67.0,20.0,8530,False,1st 11:19:00 : missed by Jordan Willis(McMurry) 7-20,period_1 player_785993342 team_8530,False,785993342,1,11:19:00,Jordan Willis,McMurry,7-20,missed,67.0,20.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
28,2823200362,10.0,50.0,2,False,1st 11:11:00 : missed by Rich Smith(Abilene Christian) 7-20,period_1 player_785993327 team_2,False,785993327,1,11:11:00,Rich Smith,Abilene Christian,7-20,missed,90.0,0.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
29,2823200365,89.0,49.0,8530,False,1st 11:01:00 : missed by Jordan Willis(McMurry) 7-20,period_1 player_785993342 team_8530,False,785993342,1,11:01:00,Jordan Willis,McMurry,7-20,missed,89.0,49.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
30,2823200367,10.0,52.0,2,False,1st 10:44:00 : missed by Joseph Scott(Abilene Christian) 7-20,period_1 player_785993337 team_2,False,785993337,1,10:44:00,Joseph Scott,Abilene Christian,7-20,missed,90.0,-2.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
31,2823200369,91.0,60.0,8530,False,1st 10:36:00 : missed by Gervai Maeweathers(McMurry) 7-20,period_1 player_785993341 team_8530,False,785993341,1,10:36:00,Gervai Maeweathers,McMurry,7-20,missed,91.0,60.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
32,2823200373,93.0,44.0,8530,True,1st 10:11:00 : made by Koye Rondeno(McMurry) 9-20,period_1 player_785993351 team_8530,False,785993351,1,10:11:00,Koye Rondeno,McMurry,9-20,made,93.0,44.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
33,2823200395,8.0,53.0,2,False,1st 09:34:00 : missed by Zy Wright(Abilene Christian) 11-20,period_1 player_785993331 team_2,False,785993331,1,09:34:00,Zy Wright,Abilene Christian,11-20,missed,92.0,-3.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
34,2823200400,7.0,53.0,2,False,1st 08:48:00 : missed by Tylan LEWIS(Abilene Christian) 11-20,period_1 player_785993336 team_2,False,785993336,1,08:48:00,Tylan LEWIS,Abilene Christian,11-20,missed,93.0,-3.0,Abilene Christian,McMurry,2026,McMurryAbileneChristian11032025,Home,
