,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823645937,87.0,49.0,29,False,1st 19:42:00 : missed by Brayden Burries(Arizona) 0-0,period_1 player_786039453 team_29,False,786039453,1,19:42:00,Brayden Burries,Arizona,0-0,missed,87.0,49.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
1,2823645945,83.0,73.0,29,False,1st 19:37:00 : missed by Koa Peat(Arizona) 0-0,period_1 player_786039454 team_29,False,786039454,1,19:37:00,Koa Peat,Arizona,0-0,missed,83.0,73.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
2,2823645951,34.0,47.0,235,True,1st 19:20:00 : made by Xaivian Lee(Florida) 0-3,period_1 player_786039380 team_235,False,786039380,1,19:20:00,Xaivian Lee,Florida,0-3,made,66.0,3.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
3,2823645958,85.0,47.0,29,True,1st 19:01:00 : made by Motiejus Krivas(Arizona) 2-3,period_1 player_786039450 team_29,False,786039450,1,19:01:00,Motiejus Krivas,Arizona,2-3,made,85.0,47.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
4,2823645965,10.0,37.0,235,False,1st 18:46:00 : missed by Rueben Chinyelu(Florida) 2-3,period_1 player_786039393 team_235,False,786039393,1,18:46:00,Rueben Chinyelu,Florida,2-3,missed,90.0,13.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
5,2823645972,93.0,56.0,29,True,1st 18:35:00 : made by Motiejus Krivas(Arizona) 4-3,period_1 player_786039450 team_29,False,786039450,1,18:35:00,Motiejus Krivas,Arizona,4-3,made,93.0,56.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
6,2823645979,7.0,48.0,235,True,1st 18:23:00 : made by Xaivian Lee(Florida) 4-5,period_1 player_786039380 team_235,False,786039380,1,18:23:00,Xaivian Lee,Florida,4-5,made,93.0,2.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
7,2823645989,13.0,51.0,235,False,1st 18:08:00 : missed by Xaivian Lee(Florida) 4-5,period_1 player_786039380 team_235,False,786039380,1,18:08:00,Xaivian Lee,Florida,4-5,missed,87.0,-1.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
8,2823646029,88.0,47.0,29,False,1st 17:17:00 : missed by Ivan Kharchenkov(Arizona) 4-6,period_1 player_786039452 team_29,False,786039452,1,17:17:00,Ivan Kharchenkov,Arizona,4-6,missed,88.0,47.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
9,2823646034,94.0,50.0,29,True,1st 17:12:00 : made by Jaden Bradley(Arizona) 6-6,period_1 player_786039449 team_29,False,786039449,1,17:12:00,Jaden Bradley,Arizona,6-6,made,94.0,50.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
10,2823646053,9.0,59.0,235,False,1st 16:55:00 : missed by Alex Condon(Florida) 6-6,period_1 player_786039399 team_235,False,786039399,1,16:55:00,Alex Condon,Florida,6-6,missed,91.0,-9.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
11,2823646057,24.0,82.0,235,False,1st 16:50:00 : missed by Xaivian Lee(Florida) 6-6,period_1 player_786039380 team_235,False,786039380,1,16:50:00,Xaivian Lee,Florida,6-6,missed,76.0,-32.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
12,2823646061,14.0,45.0,235,True,1st 16:39:00 : made by Boogie Fland(Florida) 6-8,period_1 player_786039420 team_235,False,786039420,1,16:39:00,Boogie Fland,Florida,6-8,made,86.0,5.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
13,2823646063,77.0,56.0,29,False,1st 16:20:00 : missed by Jaden Bradley(Arizona) 6-8,period_1 player_786039449 team_29,False,786039449,1,16:20:00,Jaden Bradley,Arizona,6-8,missed,77.0,56.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
14,2823646081,83.0,49.0,29,False,1st 15:55:00 : missed by Ivan Kharchenkov(Arizona) 6-9,period_1 player_786039452 team_29,False,786039452,1,15:55:00,Ivan Kharchenkov,Arizona,6-9,missed,83.0,49.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
15,2823646084,10.0,44.0,235,True,1st 15:44:00 : made by Urban Klavzar(Florida) 6-11,period_1 player_786039410 team_235,False,786039410,1,15:44:00,Urban Klavzar,Florida,6-11,made,90.0,6.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
16,2823646102,10.0,58.0,235,True,1st 15:22:00 : made by Thomas Haugh(Florida) 7-13,period_1 player_786039404 team_235,False,786039404,1,15:22:00,Thomas Haugh,Florida,7-13,made,90.0,-8.0,Arizona,Florida,2026,ArizonaFlorida11032025,Neutral,Q1B
