shot_id,x,y,team_id,made,description,meta,flag2
2823222357,6.0,45.0,77,True,1st 19:18:00 : made by Keba Keita(BYU) 0-2,period_1 player_785994364 team_77,False
2823222358,85.0,94.0,739,False,1st 19:05:00 : missed by Matt Hodge(Villanova) 0-2,period_1 player_785994384 team_739,False
2823222360,94.0,52.0,739,True,1st 19:00:00 : made by Tyler Perkins(Villanova) 2-2,period_1 player_785994380 team_739,False
2823222361,19.0,38.0,77,True,1st 18:46:00 : made by Robert Wright III(BYU) 2-4,period_1 player_785994368 team_77,False
2823222362,70.0,72.0,739,False,1st 18:27:00 : missed by Matt Hodge(Villanova) 2-4,period_1 player_785994384 team_739,False
2823222364,83.0,43.0,739,True,1st 18:20:00 : made by Tyler Perkins(Villanova) 4-4,period_1 player_785994380 team_739,False
2823222369,7.0,57.0,77,True,1st 17:54:00 : made by AJ Dybantsa(BYU) 4-6,period_1 player_785994371 team_77,False
2823222370,70.0,35.0,739,False,1st 17:35:00 : missed by Tyler Perkins(Villanova) 4-6,period_1 player_785994380 team_739,False
2823222373,6.0,57.0,77,True,1st 17:16:00 : made by Robert Wright III(BYU) 4-8,period_1 player_785994368 team_77,False
2823222383,72.0,19.0,739,False,1st 16:31:00 : missed by Tyler Perkins(Villanova) 5-8,period_1 player_785994380 team_739,False
2823222391,71.0,25.0,739,True,1st 16:26:00 : made by Malachi Palmer(Villanova) 8-8,period_1 player_785994381 team_739,False
2823222393,6.0,56.0,77,False,1st 15:58:00 : missed by Robert Wright III(BYU) 8-8,period_1 player_785994368 team_77,False
2823222398,18.0,72.0,77,False,1st 15:53:00 : missed by AJ Dybantsa(BYU) 8-8,period_1 player_785994371 team_77,False
2823222400,7.0,56.0,77,False,1st 15:49:00 : missed by Richie Saunders(BYU) 8-8,period_1 player_785994365 team_77,False
2823222402,6.0,50.0,77,False,1st 15:44:00 : missed by Richie Saunders(BYU) 8-8,period_1 player_785994365 team_77,False
2823222404,70.0,32.0,739,False,1st 15:37:00 : missed by Acaden Lewis(Villanova) 8-8,period_1 player_785994383 team_739,False
2823222408,6.0,46.0,77,True,1st 15:25:00 : made by Richie Saunders(BYU) 8-10,period_1 player_785994365 team_77,False
2823222410,88.0,26.0,739,False,1st 15:08:00 : missed by Malachi Palmer(Villanova) 8-10,period_1 player_785994381 team_739,False
2823222430,96.0,95.0,739,False,1st 14:27:00 : missed by Matt Hodge(Villanova) 8-10,period_1 player_785994384 team_739,False
2823222432,11.0,43.0,77,False,1st 14:18:00 : missed by Richie Saunders(BYU) 8-10,period_1 player_785994365 team_77,False
