,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823196834,32.0,40.0,2696,False,1st 19:37:00 : missed by Joshua West(Hawaii Pacific) 0-0,period_1 player_785993193 team_2696,False,785993193,1,19:37:00,Joshua West,Hawaii Pacific,0-0,missed,68.0,10.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
1,2823196836,75.0,16.0,66,False,1st 19:26:00 : missed by Pearson Carmichael(Boise St.) 0-0,period_1 player_785993185 team_66,False,785993185,1,19:26:00,Pearson Carmichael,Boise St.,0-0,missed,75.0,16.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
2,2823196838,8.0,47.0,2696,True,1st 19:05:00 : made by Maj Dusanic(Hawaii Pacific) 2-0,period_1 player_785993191 team_2696,False,785993191,1,19:05:00,Maj Dusanic,Hawaii Pacific,2-0,made,92.0,3.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
3,2823196840,92.0,46.0,66,True,1st 18:48:00 : made by Andrew Meadow(Boise St.) 2-2,period_1 player_785993182 team_66,False,785993182,1,18:48:00,Andrew Meadow,Boise St.,2-2,made,92.0,46.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
4,2823196842,8.0,64.0,2696,True,1st 18:29:00 : made by Joshua West(Hawaii Pacific) 4-2,period_1 player_785993193 team_2696,False,785993193,1,18:29:00,Joshua West,Hawaii Pacific,4-2,made,92.0,-14.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
5,2823196846,85.0,25.0,66,False,1st 18:19:00 : missed by Dylan Andrews(Boise St.) 5-2,period_1 player_785993181 team_66,False,785993181,1,18:19:00,Dylan Andrews,Boise St.,5-2,missed,85.0,25.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
6,2823196848,94.0,46.0,66,False,1st 18:09:00 : missed by Andrew Meadow(Boise St.) 5-2,period_1 player_785993182 team_66,False,785993182,1,18:09:00,Andrew Meadow,Boise St.,5-2,missed,94.0,46.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
7,2823196850,27.0,79.0,2696,True,1st 18:04:00 : made by Joshua West(Hawaii Pacific) 8-2,period_1 player_785993193 team_2696,False,785993193,1,18:04:00,Joshua West,Hawaii Pacific,8-2,made,73.0,-29.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
8,2823196852,70.0,29.0,66,False,1st 17:49:00 : missed by Javan Buchanan(Boise St.) 8-2,period_1 player_785993186 team_66,False,785993186,1,17:49:00,Javan Buchanan,Boise St.,8-2,missed,70.0,29.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
9,2823196854,5.0,52.0,2696,False,1st 17:42:00 : missed by Joshua West(Hawaii Pacific) 8-2,period_1 player_785993193 team_2696,False,785993193,1,17:42:00,Joshua West,Hawaii Pacific,8-2,missed,95.0,-2.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
10,2823196856,95.0,98.0,66,True,1st 17:35:00 : made by Pearson Carmichael(Boise St.) 8-5,period_1 player_785993185 team_66,False,785993185,1,17:35:00,Pearson Carmichael,Boise St.,8-5,made,95.0,98.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
11,2823196858,6.0,51.0,2696,True,1st 17:05:00 : made by Quinton McCullough(Hawaii Pacific) 10-5,period_1 player_785993198 team_2696,False,785993198,1,17:05:00,Quinton McCullough,Hawaii Pacific,10-5,made,94.0,-1.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
12,2823196863,30.0,74.0,2696,False,1st 16:37:00 : missed by Quentin Meza(Hawaii Pacific) 10-7,period_1 player_785993194 team_2696,False,785993194,1,16:37:00,Quentin Meza,Hawaii Pacific,10-7,missed,70.0,-24.0,Boise St.,Hawaii Pacific,2026,HawaiiPacificBoiseSt11032025,Home,
