,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2824971276,6.0,46.0,457,False,1st 19:25:00 : missed by Seth Trimble(North Carolina) 0-0,period_1 player_786159341 team_457,False,786159341,1,19:25:00,Seth Trimble,North Carolina,0-0,missed,94.0,4.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
1,2824971278,6.0,50.0,457,True,1st 19:22:00 : made by Henri Veesaar(North Carolina) 0-2,period_1 player_786159342 team_457,False,786159342,1,19:22:00,Henri Veesaar,North Carolina,0-2,made,94.0,0.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
2,2824971279,92.0,49.0,1004,True,1st 19:06:00 : made by Cole McCormick(Central Ark.) 2-2,period_1 player_786159372 team_1004,False,786159372,1,19:06:00,Cole McCormick,Central Ark.,2-2,made,92.0,49.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
3,2824971281,6.0,49.0,457,True,1st 18:53:00 : made by Caleb Wilson(North Carolina) 2-4,period_1 player_786159352 team_457,False,786159352,1,18:53:00,Caleb Wilson,North Carolina,2-4,made,94.0,1.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
4,2824971283,74.0,49.0,1004,False,1st 18:34:00 : missed by Rashad Bolden(Central Ark.) 2-4,period_1 player_786159358 team_1004,False,786159358,1,18:34:00,Rashad Bolden,Central Ark.,2-4,missed,74.0,49.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
5,2824971285,8.0,96.0,457,False,1st 18:27:00 : missed by Jarin Stevenson(North Carolina) 2-4,period_1 player_786159344 team_457,False,786159344,1,18:27:00,Jarin Stevenson,North Carolina,2-4,missed,92.0,-46.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
6,2824971287,70.0,36.0,1004,False,1st 18:12:00 : missed by Rashad Bolden(Central Ark.) 2-4,period_1 player_786159358 team_1004,False,786159358,1,18:12:00,Rashad Bolden,Central Ark.,2-4,missed,70.0,36.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
7,2824971289,7.0,48.0,457,True,1st 18:05:00 : made by Caleb Wilson(North Carolina) 2-6,period_1 player_786159352 team_457,False,786159352,1,18:05:00,Caleb Wilson,North Carolina,2-6,made,93.0,2.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
8,2824971291,73.0,24.0,1004,True,1st 17:47:00 : made by Cole McCormick(Central Ark.) 5-6,period_1 player_786159372 team_1004,False,786159372,1,17:47:00,Cole McCormick,Central Ark.,5-6,made,73.0,24.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
9,2824971292,6.0,46.0,457,True,1st 17:35:00 : made by Caleb Wilson(North Carolina) 5-8,period_1 player_786159352 team_457,False,786159352,1,17:35:00,Caleb Wilson,North Carolina,5-8,made,94.0,4.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
10,2824971298,9.0,44.0,457,True,1st 17:17:00 : made by Kyan Evans(North Carolina) 5-10,period_1 player_786159355 team_457,False,786159355,1,17:17:00,Kyan Evans,North Carolina,5-10,made,91.0,6.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
11,2824971305,7.0,2.0,457,False,1st 16:47:00 : missed by Kyan Evans(North Carolina) 5-10,period_1 player_786159355 team_457,False,786159355,1,16:47:00,Kyan Evans,North Carolina,5-10,missed,93.0,48.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
12,2824971309,11.0,95.0,457,False,1st 16:41:00 : missed by Seth Trimble(North Carolina) 5-10,period_1 player_786159341 team_457,False,786159341,1,16:41:00,Seth Trimble,North Carolina,5-10,missed,89.0,-45.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
13,2824971311,12.0,47.0,457,False,1st 16:37:00 : missed by Henri Veesaar(North Carolina) 5-10,period_1 player_786159342 team_457,False,786159342,1,16:37:00,Henri Veesaar,North Carolina,5-10,missed,88.0,3.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
14,2824971313,6.0,50.0,457,True,1st 16:33:00 : made by Caleb Wilson(North Carolina) 5-12,period_1 player_786159352 team_457,False,786159352,1,16:33:00,Caleb Wilson,North Carolina,5-12,made,94.0,0.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
15,2824971314,87.0,95.0,1004,False,1st 16:18:00 : missed by Truman Byrne(Central Ark.) 5-12,period_1 player_786159363 team_1004,False,786159363,1,16:18:00,Truman Byrne,Central Ark.,5-12,missed,87.0,95.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
16,2824971322,69.0,62.0,1004,True,1st 15:59:00 : made by Javion Guy-King(Central Ark.) 8-14,period_1 player_786159369 team_1004,False,786159369,1,15:59:00,Javion Guy-King,Central Ark.,8-14,made,69.0,62.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
17,2824971330,23.0,86.0,457,True,1st 15:36:00 : made by Kyan Evans(North Carolina) 8-17,period_1 player_786159355 team_457,False,786159355,1,15:36:00,Kyan Evans,North Carolina,8-17,made,77.0,-36.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
18,2824971334,8.0,46.0,457,True,1st 15:00:00 : made by Luka Bogavac(North Carolina) 8-19,period_1 player_786159349 team_457,False,786159349,1,15:00:00,Luka Bogavac,North Carolina,8-19,made,92.0,4.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
19,2824971337,7.0,46.0,457,True,1st 14:44:00 : made by Seth Trimble(North Carolina) 8-21,period_1 player_786159341 team_457,False,786159341,1,14:44:00,Seth Trimble,North Carolina,8-21,made,93.0,4.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
20,2824971344,75.0,12.0,1004,False,1st 14:23:00 : missed by Javion Guy-King(Central Ark.) 8-21,period_1 player_786159369 team_1004,False,786159369,1,14:23:00,Javion Guy-King,Central Ark.,8-21,missed,75.0,12.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
21,2824971346,93.0,52.0,1004,False,1st 14:18:00 : missed by Chris Mason(Central Ark.) 8-21,period_1 player_786159365 team_1004,False,786159365,1,14:18:00,Chris Mason,Central Ark.,8-21,missed,93.0,52.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
22,2824971348,93.0,46.0,1004,True,1st 14:15:00 : made by Chris Mason(Central Ark.) 10-21,period_1 player_786159365 team_1004,False,786159365,1,14:15:00,Chris Mason,Central Ark.,10-21,made,93.0,46.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
23,2824971349,8.0,53.0,457,False,1st 14:09:00 : missed by Luka Bogavac(North Carolina) 10-21,period_1 player_786159349 team_457,False,786159349,1,14:09:00,Luka Bogavac,North Carolina,10-21,missed,92.0,-3.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
24,2824971352,91.0,83.0,1004,False,1st 13:56:00 : missed by Camren Hunter(Central Ark.) 10-21,period_1 player_786159368 team_1004,False,786159368,1,13:56:00,Camren Hunter,Central Ark.,10-21,missed,91.0,83.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
25,2824971364,81.0,8.0,1004,True,1st 13:47:00 : made by Javion Guy-King(Central Ark.) 13-21,period_1 player_786159369 team_1004,False,786159369,1,13:47:00,Javion Guy-King,Central Ark.,13-21,made,81.0,8.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
26,2824971365,10.0,4.0,457,False,1st 13:30:00 : missed by Jonathan Powell(North Carolina) 13-21,period_1 player_786159347 team_457,False,786159347,1,13:30:00,Jonathan Powell,North Carolina,13-21,missed,90.0,46.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
27,2824971367,9.0,46.0,457,True,1st 13:27:00 : made by Luka Bogavac(North Carolina) 13-23,period_1 player_786159349 team_457,False,786159349,1,13:27:00,Luka Bogavac,North Carolina,13-23,made,91.0,4.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
28,2824971375,80.0,93.0,1004,False,1st 12:47:00 : missed by Chris Mason(Central Ark.) 13-23,period_1 player_786159365 team_1004,False,786159365,1,12:47:00,Chris Mason,Central Ark.,13-23,missed,80.0,93.0,Central Ark.,North Carolina,2026,CentralArkNorthCarolina11032025,Neutral,Q1B
