,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823926203,8.0,45.0,253,False,1st 19:26:00 : missed by Andres Burney(Ga. Southern) 0-1,period_1 player_786062890 team_253,False,786062890,1,19:26:00,Andres Burney,Ga. Southern,0-1,missed,92.0,5.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
1,2823926205,6.0,50.0,253,False,1st 19:21:00 : missed by Andres Burney(Ga. Southern) 0-1,period_1 player_786062890 team_253,False,786062890,1,19:21:00,Andres Burney,Ga. Southern,0-1,missed,94.0,0.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
2,2823926207,91.0,29.0,196,True,1st 19:06:00 : made by Eli DeLaurier(East Carolina) 0-3,period_1 player_786062877 team_196,False,786062877,1,19:06:00,Eli DeLaurier,East Carolina,0-3,made,91.0,29.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
3,2823926211,91.0,45.0,196,False,1st 18:44:00 : missed by Jordan Riley(East Carolina) 0-3,period_1 player_786062876 team_196,False,786062876,1,18:44:00,Jordan Riley,East Carolina,0-3,missed,91.0,45.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
4,2823926213,94.0,50.0,196,True,1st 18:39:00 : made by Giovanni Emejuru(East Carolina) 0-5,period_1 player_786062875 team_196,False,786062875,1,18:39:00,Giovanni Emejuru,East Carolina,0-5,made,94.0,50.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
5,2823926214,5.0,53.0,253,True,1st 18:30:00 : made by Tavarus Webb(Ga. Southern) 2-5,period_1 player_786062888 team_253,False,786062888,1,18:30:00,Tavarus Webb,Ga. Southern,2-5,made,95.0,-3.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
6,2823926219,79.0,49.0,196,False,1st 18:22:00 : missed by Corey Caulker(East Carolina) 3-5,period_1 player_786062882 team_196,False,786062882,1,18:22:00,Corey Caulker,East Carolina,3-5,missed,79.0,49.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
7,2823926222,71.0,25.0,196,False,1st 18:14:00 : missed by Eli DeLaurier(East Carolina) 3-5,period_1 player_786062877 team_196,False,786062877,1,18:14:00,Eli DeLaurier,East Carolina,3-5,missed,71.0,25.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
8,2823926227,15.0,74.0,253,True,1st 18:03:00 : made by Alden Applewhite(Ga. Southern) 5-5,period_1 player_786062887 team_253,False,786062887,1,18:03:00,Alden Applewhite,Ga. Southern,5-5,made,85.0,-24.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
9,2823926229,93.0,45.0,196,True,1st 17:44:00 : made by Giovanni Emejuru(East Carolina) 5-7,period_1 player_786062875 team_196,False,786062875,1,17:44:00,Giovanni Emejuru,East Carolina,5-7,made,93.0,45.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
10,2823926231,12.0,41.0,253,False,1st 17:31:00 : missed by Nakavieon White(Ga. Southern) 5-7,period_1 player_786062892 team_253,False,786062892,1,17:31:00,Nakavieon White,Ga. Southern,5-7,missed,88.0,9.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
11,2823926238,89.0,49.0,196,False,1st 17:09:00 : missed by Giovanni Emejuru(East Carolina) 5-7,period_1 player_786062875 team_196,False,786062875,1,17:09:00,Giovanni Emejuru,East Carolina,5-7,missed,89.0,49.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
12,2823926240,6.0,54.0,253,True,1st 16:55:00 : made by Alden Applewhite(Ga. Southern) 7-7,period_1 player_786062887 team_253,False,786062887,1,16:55:00,Alden Applewhite,Ga. Southern,7-7,made,94.0,-4.0,East Carolina,Ga. Southern,2026,GaSouthernEastCarolina11042025,Home,Q4
