,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823135273,7.0,96.0,311,True,1st 19:47:00 : made by Tamin Lipsey(Iowa St.) 0-3,period_1 player_785988941 team_311,False,785988941,1,19:47:00,Tamin Lipsey,Iowa St.,0-3,made,93.0,-46.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
1,2823135275,88.0,43.0,222,False,1st 19:22:00 : missed by Cyril Martynov(FDU) 0-3,period_1 player_785988963 team_222,False,785988963,1,19:22:00,Cyril Martynov,FDU,0-3,missed,88.0,43.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
2,2823135277,7.0,78.0,311,False,1st 18:58:00 : missed by Killyan Toure(Iowa St.) 0-3,period_1 player_785988957 team_311,False,785988957,1,18:58:00,Killyan Toure,Iowa St.,0-3,missed,93.0,-28.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
3,2823135279,10.0,32.0,311,True,1st 18:52:00 : made by Joshua Jefferson(Iowa St.) 0-5,period_1 player_785988942 team_311,False,785988942,1,18:52:00,Joshua Jefferson,Iowa St.,0-5,made,90.0,18.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
4,2823135286,7.0,55.0,311,False,1st 18:07:00 : missed by Joshua Jefferson(Iowa St.) 1-5,period_1 player_785988942 team_311,False,785988942,1,18:07:00,Joshua Jefferson,Iowa St.,1-5,missed,93.0,-5.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
5,2823135288,74.0,62.0,222,False,1st 17:48:00 : missed by David Jevtic(FDU) 1-5,period_1 player_785988980 team_222,False,785988980,1,17:48:00,David Jevtic,FDU,1-5,missed,74.0,62.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
6,2823135290,23.0,84.0,311,False,1st 17:39:00 : missed by Tamin Lipsey(Iowa St.) 1-5,period_1 player_785988941 team_311,False,785988941,1,17:39:00,Tamin Lipsey,Iowa St.,1-5,missed,77.0,-34.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
7,2823135292,93.0,96.0,222,False,1st 17:19:00 : missed by David Jevtic(FDU) 1-5,period_1 player_785988980 team_222,False,785988980,1,17:19:00,David Jevtic,FDU,1-5,missed,93.0,96.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
8,2823135294,10.0,79.0,311,False,1st 17:05:00 : missed by Milan Momcilovic(Iowa St.) 1-5,period_1 player_785988948 team_311,False,785988948,1,17:05:00,Milan Momcilovic,Iowa St.,1-5,missed,90.0,-29.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
9,2823135296,29.0,70.0,311,False,1st 17:01:00 : missed by Milan Momcilovic(Iowa St.) 1-5,period_1 player_785988948 team_311,False,785988948,1,17:01:00,Milan Momcilovic,Iowa St.,1-5,missed,71.0,-20.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
10,2823135304,93.0,54.0,222,True,1st 16:44:00 : made by Taeshaud Jackson(FDU) 3-5,period_1 player_785988965 team_222,False,785988965,1,16:44:00,Taeshaud Jackson,FDU,3-5,made,93.0,54.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
11,2823135306,32.0,30.0,311,True,1st 16:25:00 : made by Milan Momcilovic(Iowa St.) 3-8,period_1 player_785988948 team_311,False,785988948,1,16:25:00,Milan Momcilovic,Iowa St.,3-8,made,68.0,20.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
12,2823135313,77.0,85.0,222,False,1st 15:38:00 : missed by Eric Parnell(FDU) 3-8,period_1 player_785988967 team_222,False,785988967,1,15:38:00,Eric Parnell,FDU,3-8,missed,77.0,85.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
13,2823135315,10.0,6.0,311,True,1st 15:15:00 : made by Milan Momcilovic(Iowa St.) 3-11,period_1 player_785988948 team_311,False,785988948,1,15:15:00,Milan Momcilovic,Iowa St.,3-11,made,90.0,44.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
14,2823135319,7.0,43.0,311,True,1st 14:58:00 : made by Tamin Lipsey(Iowa St.) 3-13,period_1 player_785988941 team_311,False,785988941,1,14:58:00,Tamin Lipsey,Iowa St.,3-13,made,93.0,7.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
15,2823135320,78.0,86.0,222,False,1st 14:39:00 : missed by Taeshaud Jackson(FDU) 3-13,period_1 player_785988965 team_222,False,785988965,1,14:39:00,Taeshaud Jackson,FDU,3-13,missed,78.0,86.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
16,2823135326,94.0,54.0,222,True,1st 14:34:00 : made by Taeshaud Jackson(FDU) 5-13,period_1 player_785988965 team_222,False,785988965,1,14:34:00,Taeshaud Jackson,FDU,5-13,made,94.0,54.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
17,2823135328,7.0,50.0,311,True,1st 14:13:00 : made by Blake Buchanan(Iowa St.) 5-15,period_1 player_785988945 team_311,False,785988945,1,14:13:00,Blake Buchanan,Iowa St.,5-15,made,93.0,0.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
18,2823135335,12.0,55.0,311,True,1st 13:38:00 : made by Blake Buchanan(Iowa St.) 5-17,period_1 player_785988945 team_311,False,785988945,1,13:38:00,Blake Buchanan,Iowa St.,5-17,made,88.0,-5.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
19,2823135338,7.0,41.0,311,False,1st 13:14:00 : missed by Blake Buchanan(Iowa St.) 5-17,period_1 player_785988945 team_311,False,785988945,1,13:14:00,Blake Buchanan,Iowa St.,5-17,missed,93.0,9.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
20,2823135342,89.0,59.0,222,False,1st 12:48:00 : missed by Arthur Cox(FDU) 5-17,period_1 player_785988971 team_222,False,785988971,1,12:48:00,Arthur Cox,FDU,5-17,missed,89.0,59.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
21,2823135344,91.0,52.0,222,True,1st 12:45:00 : made by Arthur Cox(FDU) 7-17,period_1 player_785988971 team_222,False,785988971,1,12:45:00,Arthur Cox,FDU,7-17,made,91.0,52.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
22,2823135349,69.0,64.0,222,False,1st 12:22:00 : missed by Joey Niesman(FDU) 7-17,period_1 player_785988969 team_222,False,785988969,1,12:22:00,Joey Niesman,FDU,7-17,missed,69.0,64.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
23,2823135353,93.0,51.0,222,True,1st 12:13:00 : made by Eric Parnell(FDU) 9-17,period_1 player_785988967 team_222,False,785988967,1,12:13:00,Eric Parnell,FDU,9-17,made,93.0,51.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
24,2823135354,28.0,72.0,311,True,1st 11:54:00 : made by Nate Heise(Iowa St.) 9-20,period_1 player_785988940 team_311,False,785988940,1,11:54:00,Nate Heise,Iowa St.,9-20,made,72.0,-22.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
25,2823135358,6.0,53.0,311,True,1st 11:34:00 : made by Killyan Toure(Iowa St.) 9-22,period_1 player_785988957 team_311,False,785988957,1,11:34:00,Killyan Toure,Iowa St.,9-22,made,94.0,-3.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
26,2823135360,94.0,57.0,222,True,1st 11:14:00 : made by Taeshaud Jackson(FDU) 11-22,period_1 player_785988965 team_222,False,785988965,1,11:14:00,Taeshaud Jackson,FDU,11-22,made,94.0,57.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
27,2823135361,8.0,49.0,311,True,1st 10:56:00 : made by Tamin Lipsey(Iowa St.) 11-24,period_1 player_785988941 team_311,False,785988941,1,10:56:00,Tamin Lipsey,Iowa St.,11-24,made,92.0,1.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
28,2823135376,32.0,34.0,311,False,1st 10:15:00 : missed by Jamarion Batemon(Iowa St.) 11-24,period_1 player_785988952 team_311,False,785988952,1,10:15:00,Jamarion Batemon,Iowa St.,11-24,missed,68.0,16.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
29,2823135378,73.0,10.0,222,False,1st 09:53:00 : missed by Chidube Ekwommadu(FDU) 11-24,period_1 player_785988972 team_222,False,785988972,1,09:53:00,Chidube Ekwommadu,FDU,11-24,missed,73.0,10.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
30,2823135380,6.0,5.0,311,True,1st 09:39:00 : made by Milan Momcilovic(Iowa St.) 11-27,period_1 player_785988948 team_311,False,785988948,1,09:39:00,Milan Momcilovic,Iowa St.,11-27,made,94.0,45.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
31,2823135396,13.0,58.0,311,True,1st 08:30:00 : made by Milan Momcilovic(Iowa St.) 11-31,period_1 player_785988948 team_311,False,785988948,1,08:30:00,Milan Momcilovic,Iowa St.,11-31,made,87.0,-8.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
32,2823135397,93.0,59.0,222,False,1st 08:09:00 : missed by David Jevtic(FDU) 11-31,period_1 player_785988980 team_222,False,785988980,1,08:09:00,David Jevtic,FDU,11-31,missed,93.0,59.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
33,2823135399,93.0,46.0,222,True,1st 08:02:00 : made by David Jevtic(FDU) 13-31,period_1 player_785988980 team_222,False,785988980,1,08:02:00,David Jevtic,FDU,13-31,made,93.0,46.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
34,2823135400,17.0,56.0,311,False,1st 07:43:00 : missed by Milan Momcilovic(Iowa St.) 13-31,period_1 player_785988948 team_311,False,785988948,1,07:43:00,Milan Momcilovic,Iowa St.,13-31,missed,83.0,-6.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
35,2823135402,9.0,43.0,311,False,1st 07:40:00 : missed by Blake Buchanan(Iowa St.) 13-31,period_1 player_785988945 team_311,False,785988945,1,07:40:00,Blake Buchanan,Iowa St.,13-31,missed,91.0,7.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
36,2823135414,89.0,72.0,222,False,1st 07:15:00 : missed by Taeshaud Jackson(FDU) 13-31,period_1 player_785988965 team_222,False,785988965,1,07:15:00,Taeshaud Jackson,FDU,13-31,missed,89.0,72.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
37,2823135416,32.0,57.0,311,False,1st 07:01:00 : missed by Joshua Jefferson(Iowa St.) 13-31,period_1 player_785988942 team_311,False,785988942,1,07:01:00,Joshua Jefferson,Iowa St.,13-31,missed,68.0,-7.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
38,2823135421,11.0,28.0,311,False,1st 06:12:00 : missed by Dominick Nelson(Iowa St.) 13-31,period_1 player_785988950 team_311,False,785988950,1,06:12:00,Dominick Nelson,Iowa St.,13-31,missed,89.0,22.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
39,2823135425,7.0,47.0,311,True,1st 05:47:00 : made by Dominick Nelson(Iowa St.) 13-33,period_1 player_785988950 team_311,False,785988950,1,05:47:00,Dominick Nelson,Iowa St.,13-33,made,93.0,3.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
40,2823135427,67.0,48.0,222,False,1st 05:26:00 : missed by Eric Parnell(FDU) 13-33,period_1 player_785988967 team_222,False,785988967,1,05:26:00,Eric Parnell,FDU,13-33,missed,67.0,48.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
41,2823135429,93.0,6.0,222,True,1st 05:18:00 : made by Joey Niesman(FDU) 16-33,period_1 player_785988969 team_222,False,785988969,1,05:18:00,Joey Niesman,FDU,16-33,made,93.0,6.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
42,2823135437,16.0,7.0,311,False,1st 05:02:00 : missed by Dominick Nelson(Iowa St.) 16-33,period_1 player_785988950 team_311,False,785988950,1,05:02:00,Dominick Nelson,Iowa St.,16-33,missed,84.0,43.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
43,2823135439,11.0,6.0,311,False,1st 04:42:00 : missed by Tamin Lipsey(Iowa St.) 16-33,period_1 player_785988941 team_311,False,785988941,1,04:42:00,Tamin Lipsey,Iowa St.,16-33,missed,89.0,44.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
44,2823135445,89.0,42.0,222,False,1st 04:10:00 : missed by Arthur Cox(FDU) 16-33,period_1 player_785988971 team_222,False,785988971,1,04:10:00,Arthur Cox,FDU,16-33,missed,89.0,42.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
45,2823135447,8.0,56.0,311,False,1st 04:03:00 : missed by Dominick Nelson(Iowa St.) 16-33,period_1 player_785988950 team_311,False,785988950,1,04:03:00,Dominick Nelson,Iowa St.,16-33,missed,92.0,-6.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
46,2823135458,69.0,30.0,222,False,1st 03:38:00 : missed by Eric Parnell(FDU) 16-33,period_1 player_785988967 team_222,False,785988967,1,03:38:00,Eric Parnell,FDU,16-33,missed,69.0,30.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
47,2823135464,8.0,45.0,311,True,1st 03:28:00 : made by Milan Momcilovic(Iowa St.) 16-35,period_1 player_785988948 team_311,False,785988948,1,03:28:00,Milan Momcilovic,Iowa St.,16-35,made,92.0,5.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
48,2823135473,76.0,82.0,222,True,1st 02:54:00 : made by Eric Parnell(FDU) 19-35,period_1 player_785988967 team_222,False,785988967,1,02:54:00,Eric Parnell,FDU,19-35,made,76.0,82.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
49,2823135475,13.0,48.0,311,True,1st 02:31:00 : made by Milan Momcilovic(Iowa St.) 19-37,period_1 player_785988948 team_311,False,785988948,1,02:31:00,Milan Momcilovic,Iowa St.,19-37,made,87.0,2.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
50,2823135476,93.0,63.0,222,False,1st 02:19:00 : missed by Arthur Cox(FDU) 19-37,period_1 player_785988971 team_222,False,785988971,1,02:19:00,Arthur Cox,FDU,19-37,missed,93.0,63.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
51,2823135493,13.0,50.0,311,True,1st 01:24:00 : made by Joshua Jefferson(Iowa St.) 19-40,period_1 player_785988942 team_311,False,785988942,1,01:24:00,Joshua Jefferson,Iowa St.,19-40,made,87.0,0.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
52,2823135498,7.0,54.0,311,True,1st 00:48:60 : made by Tamin Lipsey(Iowa St.) 19-43,period_1 player_785988941 team_311,False,785988941,1,00:48:60,Tamin Lipsey,Iowa St.,19-43,made,93.0,-4.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
53,2823135505,8.0,46.0,311,True,1st 00:02:80 : made by Tamin Lipsey(Iowa St.) 19-45,period_1 player_785988941 team_311,False,785988941,1,00:02:80,Tamin Lipsey,Iowa St.,19-45,made,92.0,4.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
54,2823135516,92.0,3.0,311,False,2nd 19:34:00 : missed by Tamin Lipsey(Iowa St.) 19-45,period_2 player_785988941 team_311,False,785988941,2,19:34:00,Tamin Lipsey,Iowa St.,19-45,missed,92.0,3.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
55,2823135518,7.0,54.0,222,True,2nd 19:21:00 : made by Taeshaud Jackson(FDU) 21-45,period_2 player_785988965 team_222,False,785988965,2,19:21:00,Taeshaud Jackson,FDU,21-45,made,93.0,-4.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
56,2823135519,86.0,48.0,311,False,2nd 19:04:00 : missed by Joshua Jefferson(Iowa St.) 21-45,period_2 player_785988942 team_311,False,785988942,2,19:04:00,Joshua Jefferson,Iowa St.,21-45,missed,86.0,48.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
57,2823135521,88.0,50.0,311,False,2nd 19:00:00 : missed by Joshua Jefferson(Iowa St.) 21-45,period_2 player_785988942 team_311,False,785988942,2,19:00:00,Joshua Jefferson,Iowa St.,21-45,missed,88.0,50.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
58,2823135523,23.0,85.0,222,False,2nd 18:49:00 : missed by Joey Niesman(FDU) 21-45,period_2 player_785988969 team_222,False,785988969,2,18:49:00,Joey Niesman,FDU,21-45,missed,77.0,-35.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
59,2823135525,32.0,48.0,222,False,2nd 18:44:00 : missed by Cyril Martynov(FDU) 21-45,period_2 player_785988963 team_222,False,785988963,2,18:44:00,Cyril Martynov,FDU,21-45,missed,68.0,2.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
60,2823135527,79.0,13.0,311,False,2nd 18:35:00 : missed by Killyan Toure(Iowa St.) 21-45,period_2 player_785988957 team_311,False,785988957,2,18:35:00,Killyan Toure,Iowa St.,21-45,missed,79.0,13.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
61,2823135529,13.0,42.0,222,False,2nd 18:13:00 : missed by Cyril Martynov(FDU) 21-45,period_2 player_785988963 team_222,False,785988963,2,18:13:00,Cyril Martynov,FDU,21-45,missed,87.0,8.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
62,2823135534,26.0,82.0,222,False,2nd 17:54:00 : missed by Eric Parnell(FDU) 21-45,period_2 player_785988967 team_222,False,785988967,2,17:54:00,Eric Parnell,FDU,21-45,missed,74.0,-32.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
63,2823135536,88.0,41.0,311,True,2nd 17:40:00 : made by Joshua Jefferson(Iowa St.) 21-47,period_2 player_785988942 team_311,False,785988942,2,17:40:00,Joshua Jefferson,Iowa St.,21-47,made,88.0,41.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
64,2823135537,21.0,88.0,222,False,2nd 17:29:00 : missed by Eric Parnell(FDU) 21-47,period_2 player_785988967 team_222,False,785988967,2,17:29:00,Eric Parnell,FDU,21-47,missed,79.0,-38.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
65,2823135539,68.0,63.0,311,False,2nd 17:20:00 : missed by Milan Momcilovic(Iowa St.) 21-47,period_2 player_785988948 team_311,False,785988948,2,17:20:00,Milan Momcilovic,Iowa St.,21-47,missed,68.0,63.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
66,2823135549,7.0,96.0,222,False,2nd 16:50:00 : missed by Taeshaud Jackson(FDU) 21-47,period_2 player_785988965 team_222,False,785988965,2,16:50:00,Taeshaud Jackson,FDU,21-47,missed,93.0,-46.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
67,2823135551,93.0,96.0,311,True,2nd 16:34:00 : made by Milan Momcilovic(Iowa St.) 21-50,period_2 player_785988948 team_311,False,785988948,2,16:34:00,Milan Momcilovic,Iowa St.,21-50,made,93.0,96.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
68,2823135557,7.0,57.0,222,False,2nd 16:10:00 : missed by Eric Parnell(FDU) 21-50,period_2 player_785988967 team_222,False,785988967,2,16:10:00,Eric Parnell,FDU,21-50,missed,93.0,-7.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
69,2823135559,81.0,7.0,311,True,2nd 15:55:00 : made by Killyan Toure(Iowa St.) 21-53,period_2 player_785988957 team_311,False,785988957,2,15:55:00,Killyan Toure,Iowa St.,21-53,made,81.0,7.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
70,2823135565,20.0,89.0,222,False,2nd 15:29:00 : missed by Chidube Ekwommadu(FDU) 21-53,period_2 player_785988972 team_222,False,785988972,2,15:29:00,Chidube Ekwommadu,FDU,21-53,missed,80.0,-39.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
71,2823135567,83.0,90.0,311,True,2nd 15:13:00 : made by Milan Momcilovic(Iowa St.) 21-56,period_2 player_785988948 team_311,False,785988948,2,15:13:00,Milan Momcilovic,Iowa St.,21-56,made,83.0,90.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
72,2823135578,8.0,95.0,222,False,2nd 14:38:00 : missed by Eric Parnell(FDU) 21-56,period_2 player_785988967 team_222,False,785988967,2,14:38:00,Eric Parnell,FDU,21-56,missed,92.0,-45.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
73,2823135580,93.0,56.0,311,False,2nd 14:34:00 : missed by Tamin Lipsey(Iowa St.) 21-56,period_2 player_785988941 team_311,False,785988941,2,14:34:00,Tamin Lipsey,Iowa St.,21-56,missed,93.0,56.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
74,2823135583,96.0,96.0,311,False,2nd 14:31:00 : missed by Nate Heise(Iowa St.) 21-56,period_2 player_785988940 team_311,False,785988940,2,14:31:00,Nate Heise,Iowa St.,21-56,missed,96.0,96.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
75,2823135593,4.0,95.0,222,True,2nd 14:15:00 : made by Eric Parnell(FDU) 24-56,period_2 player_785988967 team_222,False,785988967,2,14:15:00,Eric Parnell,FDU,24-56,made,96.0,-45.0,FDU,Iowa St.,2026,FDUIowaSt11032025,Away,Q1A
