,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823580063,16.0,94.0,244,False,1st 19:38:00 : missed by Charles Johnston(Furman) 0-0,period_1 player_786032248 team_244,False,786032248,1,19:38:00,Charles Johnston,Furman,0-0,missed,84.0,-44.0,Furman,High Point,2026,FurmanHighPoint11032025,Neutral,Q3
1,2823580065,93.0,48.0,19651,False,1st 19:32:00 : missed by Cam&#39;Ron Fletcher(High Point) 0-0,period_1 player_786032232 team_19651,False,786032232,1,19:32:00,Cam&#39;Ron Fletcher,High Point,0-0,missed,93.0,48.0,Furman,High Point,2026,FurmanHighPoint11032025,Neutral,Q3
2,2823580067,20.0,92.0,244,False,1st 19:03:00 : missed by Alex Wilkins(Furman) 0-0,period_1 player_786032254 team_244,False,786032254,1,19:03:00,Alex Wilkins,Furman,0-0,missed,80.0,-42.0,Furman,High Point,2026,FurmanHighPoint11032025,Neutral,Q3
3,2823580069,6.0,50.0,244,False,1st 19:00:00 : missed by Charles Johnston(Furman) 0-0,period_1 player_786032248 team_244,False,786032248,1,19:00:00,Charles Johnston,Furman,0-0,missed,94.0,0.0,Furman,High Point,2026,FurmanHighPoint11032025,Neutral,Q3
4,2823580071,7.0,50.0,244,True,1st 18:57:00 : made by Charles Johnston(Furman) 2-0,period_1 player_786032248 team_244,False,786032248,1,18:57:00,Charles Johnston,Furman,2-0,made,93.0,0.0,Furman,High Point,2026,FurmanHighPoint11032025,Neutral,Q3
5,2823580072,92.0,49.0,19651,True,1st 18:38:00 : made by Cam&#39;Ron Fletcher(High Point) 2-2,period_1 player_786032232 team_19651,False,786032232,1,18:38:00,Cam&#39;Ron Fletcher,High Point,2-2,made,92.0,49.0,Furman,High Point,2026,FurmanHighPoint11032025,Neutral,Q3
6,2823580073,29.0,24.0,244,True,1st 18:30:00 : made by Tom House(Furman) 5-2,period_1 player_786032247 team_244,False,786032247,1,18:30:00,Tom House,Furman,5-2,made,71.0,26.0,Furman,High Point,2026,FurmanHighPoint11032025,Neutral,Q3
7,2823580075,92.0,40.0,19651,True,1st 18:01:00 : made by Owen Aquino(High Point) 5-4,period_1 player_786032240 team_19651,False,786032240,1,18:01:00,Owen Aquino,High Point,5-4,made,92.0,40.0,Furman,High Point,2026,FurmanHighPoint11032025,Neutral,Q3
8,2823580076,15.0,61.0,244,True,1st 17:51:00 : made by Alex Wilkins(Furman) 7-4,period_1 player_786032254 team_244,False,786032254,1,17:51:00,Alex Wilkins,Furman,7-4,made,85.0,-11.0,Furman,High Point,2026,FurmanHighPoint11032025,Neutral,Q3
9,2823580081,9.0,46.0,244,True,1st 17:22:00 : made by Ben Vander Wal(Furman) 9-6,period_1 player_786032246 team_244,False,786032246,1,17:22:00,Ben Vander Wal,Furman,9-6,made,91.0,4.0,Furman,High Point,2026,FurmanHighPoint11032025,Neutral,Q3
