,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823120801,70.0,32.0,251,False,1st 19:32:00 : missed by Malik Mack(Georgetown) 0-0,period_1 player_785988195 team_251,False,785988195,1,19:32:00,Malik Mack,Georgetown,0-0,missed,70.0,32.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
1,2823120803,8.0,53.0,446,False,1st 19:25:00 : missed by Alfred Worrell Jr.(Morgan St.) 0-0,period_1 player_785988212 team_446,False,785988212,1,19:25:00,Alfred Worrell Jr.,Morgan St.,0-0,missed,92.0,-3.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
2,2823120806,85.0,94.0,251,False,1st 19:11:00 : missed by KJ Lewis(Georgetown) 0-0,period_1 player_785988193 team_251,False,785988193,1,19:11:00,KJ Lewis,Georgetown,0-0,missed,85.0,94.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
3,2823120808,80.0,52.0,251,False,1st 19:07:00 : missed by Malik Mack(Georgetown) 0-0,period_1 player_785988195 team_251,False,785988195,1,19:07:00,Malik Mack,Georgetown,0-0,missed,80.0,52.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
4,2823120810,30.0,41.0,446,True,1st 18:42:00 : made by Walter Peggs Jr.(Morgan St.) 3-0,period_1 player_785988210 team_446,False,785988210,1,18:42:00,Walter Peggs Jr.,Morgan St.,3-0,made,70.0,9.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
5,2823120812,85.0,6.0,251,False,1st 18:14:00 : missed by Isaiah Abraham(Georgetown) 3-0,period_1 player_785988196 team_251,False,785988196,1,18:14:00,Isaiah Abraham,Georgetown,3-0,missed,85.0,6.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
6,2823120814,9.0,49.0,446,False,1st 17:56:00 : missed by Elijah Davis(Morgan St.) 3-0,period_1 player_785988207 team_446,False,785988207,1,17:56:00,Elijah Davis,Morgan St.,3-0,missed,91.0,1.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
7,2823120820,30.0,36.0,446,False,1st 17:39:00 : missed by Walter Peggs Jr.(Morgan St.) 3-0,period_1 player_785988210 team_446,False,785988210,1,17:39:00,Walter Peggs Jr.,Morgan St.,3-0,missed,70.0,14.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
8,2823120822,24.0,59.0,446,True,1st 17:31:00 : made by Walter Peggs Jr.(Morgan St.) 5-0,period_1 player_785988210 team_446,False,785988210,1,17:31:00,Walter Peggs Jr.,Morgan St.,5-0,made,76.0,-9.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
9,2823120824,93.0,95.0,251,False,1st 17:16:00 : missed by Isaiah Abraham(Georgetown) 5-0,period_1 player_785988196 team_251,False,785988196,1,17:16:00,Isaiah Abraham,Georgetown,5-0,missed,93.0,95.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
10,2823120827,89.0,64.0,251,True,1st 16:46:00 : made by KJ Lewis(Georgetown) 5-2,period_1 player_785988193 team_251,False,785988193,1,16:46:00,KJ Lewis,Georgetown,5-2,made,89.0,64.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
11,2823120840,90.0,55.0,251,False,1st 16:12:00 : missed by KJ Lewis(Georgetown) 5-3,period_1 player_785988193 team_251,False,785988193,1,16:12:00,KJ Lewis,Georgetown,5-3,missed,90.0,55.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
12,2823120842,18.0,8.0,446,False,1st 16:06:00 : missed by Walter Peggs Jr.(Morgan St.) 5-3,period_1 player_785988210 team_446,False,785988210,1,16:06:00,Walter Peggs Jr.,Morgan St.,5-3,missed,82.0,42.0,Georgetown,Morgan St.,2026,MorganStGeorgetown11032025,Home,Q4
