shot_id,x,y,team_id,made,description,meta,flag2
2823202555,5.0,53.0,260,False,1st 19:39:00 : missed by Graham Ike(Gonzaga) 0-0,period_1 player_785993439 team_260,False
2823202557,76.0,82.0,699,False,1st 19:12:00 : missed by Kolby Granger(Texas Southern) 0-0,period_1 player_785993454 team_699,False
2823202559,8.0,44.0,260,False,1st 18:54:00 : missed by Graham Ike(Gonzaga) 0-0,period_1 player_785993439 team_260,False
2823202561,82.0,42.0,699,False,1st 18:49:00 : missed by Zytarious Mortle(Texas Southern) 0-0,period_1 player_785993457 team_699,False
2823202563,93.0,52.0,699,True,1st 18:42:00 : made by Duane Posey(Texas Southern) 2-0,period_1 player_785993456 team_699,False
2823202564,25.0,81.0,260,False,1st 18:29:00 : missed by Tyon Grant-Foster(Gonzaga) 2-0,period_1 player_785993440 team_260,False
2823202566,93.0,52.0,699,True,1st 18:18:00 : made by Kolby Granger(Texas Southern) 4-0,period_1 player_785993454 team_699,False
2823202568,10.0,60.0,260,False,1st 18:06:00 : missed by Graham Ike(Gonzaga) 4-0,period_1 player_785993439 team_260,False
2823202571,29.0,69.0,260,False,1st 18:01:00 : missed by Emmanuel Innocenti(Gonzaga) 4-0,period_1 player_785993444 team_260,False
2823202573,82.0,21.0,699,False,1st 17:45:00 : missed by Kolby Granger(Texas Southern) 4-0,period_1 player_785993454 team_699,False
2823202583,78.0,7.0,699,True,1st 17:10:00 : made by Jaylen Wysinger(Texas Southern) 7-2,period_1 player_785993458 team_699,False
2823202585,31.0,50.0,260,False,1st 17:01:00 : missed by Graham Ike(Gonzaga) 7-2,period_1 player_785993439 team_260,False
2823202587,8.0,94.0,260,True,1st 16:56:00 : made by Emmanuel Innocenti(Gonzaga) 7-5,period_1 player_785993444 team_260,False
2823202589,84.0,51.0,699,False,1st 16:33:00 : missed by Jaylen Wysinger(Texas Southern) 7-5,period_1 player_785993458 team_699,False
2823202591,24.0,82.0,260,False,1st 16:25:00 : missed by Emmanuel Innocenti(Gonzaga) 7-5,period_1 player_785993444 team_260,False
2823202604,91.0,47.0,699,False,1st 16:08:00 : missed by Josh Akpovwa(Texas Southern) 7-5,period_1 player_785993459 team_699,False
2823202618,8.0,48.0,260,False,1st 15:08:00 : missed by Graham Ike(Gonzaga) 7-5,period_1 player_785993439 team_260,False
2823202620,89.0,60.0,699,False,1st 14:54:00 : missed by Oumar Koureissi(Texas Southern) 7-5,period_1 player_785993455 team_699,False
2823202623,7.0,48.0,260,True,1st 14:43:00 : made by Tyon Grant-Foster(Gonzaga) 7-7,period_1 player_785993440 team_260,False
2823202633,86.0,38.0,699,True,1st 14:27:00 : made by Cameron Patterson(Texas Southern) 9-8,period_1 player_785993460 team_699,False
2823202637,22.0,86.0,260,False,1st 14:16:00 : missed by Mario Saint-Supery(Gonzaga) 10-8,period_1 player_785993436 team_260,False
2823202641,84.0,46.0,699,False,1st 13:47:00 : missed by Oumar Koureissi(Texas Southern) 10-8,period_1 player_785993455 team_699,False
