,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823380710,8.0,94.0,288,True,1st 19:42:00 : made by Kingston Flemings(Houston) 0-3,period_1 player_786010979 team_288,False,786010979,1,19:42:00,Kingston Flemings,Houston,0-3,made,92.0,-44.0,Houston,Lehigh,2026,LehighHouston11032025,Home,Q4
1,2823380713,9.0,38.0,288,False,1st 18:55:00 : missed by Joseph Tugler(Houston) 0-3,period_1 player_786010972 team_288,False,786010972,1,18:55:00,Joseph Tugler,Houston,0-3,missed,91.0,12.0,Houston,Lehigh,2026,LehighHouston11032025,Home,Q4
2,2823380715,6.0,50.0,288,False,1st 18:53:00 : missed by Joseph Tugler(Houston) 0-3,period_1 player_786010972 team_288,False,786010972,1,18:53:00,Joseph Tugler,Houston,0-3,missed,94.0,0.0,Houston,Lehigh,2026,LehighHouston11032025,Home,Q4
3,2823380717,6.0,50.0,288,True,1st 18:43:00 : made by Chris Cenac Jr(Houston) 0-5,period_1 player_786010978 team_288,False,786010978,1,18:43:00,Chris Cenac Jr,Houston,0-5,made,94.0,0.0,Houston,Lehigh,2026,LehighHouston11032025,Home,Q4
4,2823380721,71.0,25.0,352,False,1st 18:22:00 : missed by Edouard Benoit(Lehigh) 0-5,period_1 player_786010990 team_352,False,786010990,1,18:22:00,Edouard Benoit,Lehigh,0-5,missed,71.0,25.0,Houston,Lehigh,2026,LehighHouston11032025,Home,Q4
5,2823380723,20.0,10.0,288,True,1st 18:11:00 : made by Chris Cenac Jr(Houston) 0-8,period_1 player_786010978 team_288,False,786010978,1,18:11:00,Chris Cenac Jr,Houston,0-8,made,80.0,40.0,Houston,Lehigh,2026,LehighHouston11032025,Home,Q4
6,2823380725,95.0,15.0,352,False,1st 17:45:00 : missed by Joshua Ingram(Lehigh) 0-8,period_1 player_786010986 team_352,False,786010986,1,17:45:00,Joshua Ingram,Lehigh,0-8,missed,95.0,15.0,Houston,Lehigh,2026,LehighHouston11032025,Home,Q4
7,2823380727,72.0,75.0,352,False,1st 17:39:00 : missed by Caleb Thomas(Lehigh) 0-8,period_1 player_786010995 team_352,False,786010995,1,17:39:00,Caleb Thomas,Lehigh,0-8,missed,72.0,75.0,Houston,Lehigh,2026,LehighHouston11032025,Home,Q4
8,2823380729,82.0,68.0,352,False,1st 17:31:00 : missed by Nasir Whitlock(Lehigh) 0-8,period_1 player_786010989 team_352,False,786010989,1,17:31:00,Nasir Whitlock,Lehigh,0-8,missed,82.0,68.0,Houston,Lehigh,2026,LehighHouston11032025,Home,Q4
9,2823380731,13.0,68.0,288,True,1st 17:12:00 : made by Chris Cenac Jr(Houston) 0-10,period_1 player_786010978 team_288,False,786010978,1,17:12:00,Chris Cenac Jr,Houston,0-10,made,87.0,-18.0,Houston,Lehigh,2026,LehighHouston11032025,Home,Q4
