shot_id,x,y,team_id,made,description,meta,flag2
2823599841,74.0,69.0,314,False,1st 19:45:00 : missed by Kobe Butler(Jackson St.) 0-0,period_1 player_786034436 team_314,False
2823599845,5.0,97.0,301,False,1st 19:15:00 : missed by Jake Davis(Illinois) 0-0,period_1 player_786034417 team_301,False
2823599847,29.0,72.0,301,False,1st 19:06:00 : missed by Jake Davis(Illinois) 0-0,period_1 player_786034417 team_301,False
2823599849,10.0,49.0,301,True,1st 18:57:00 : made by Tomislav Ivisic(Illinois) 0-2,period_1 player_786034418 team_301,False
2823599850,80.0,53.0,314,False,1st 18:29:00 : missed by Kobe Butler(Jackson St.) 0-2,period_1 player_786034436 team_314,False
2823599852,28.0,71.0,301,True,1st 18:22:00 : made by David Mirkovic(Illinois) 0-5,period_1 player_786034420 team_301,False
2823599854,69.0,70.0,314,False,1st 18:03:00 : missed by Daeshun Ruffin(Jackson St.) 0-5,period_1 player_786034425 team_314,False
2823599856,11.0,44.0,301,False,1st 17:39:00 : missed by Kylan Boswell(Illinois) 0-5,period_1 player_786034413 team_301,False
2823599858,7.0,50.0,301,True,1st 17:35:00 : made by David Mirkovic(Illinois) 0-7,period_1 player_786034420 team_301,False
2823599859,71.0,81.0,314,True,1st 17:24:00 : made by Devin Ree(Jackson St.) 3-7,period_1 player_786034426 team_314,False
2823599865,32.0,38.0,301,True,1st 17:04:00 : made by David Mirkovic(Illinois) 3-10,period_1 player_786034420 team_301,False
2823599867,78.0,71.0,314,False,1st 16:51:00 : missed by Dorian McMillian(Jackson St.) 3-10,period_1 player_786034430 team_314,False
2823599871,31.0,55.0,301,False,1st 16:38:00 : missed by David Mirkovic(Illinois) 3-10,period_1 player_786034420 team_301,False
2823599882,18.0,93.0,301,True,1st 15:52:00 : made by Jake Davis(Illinois) 3-14,period_1 player_786034417 team_301,False
2823599884,68.0,48.0,314,False,1st 15:44:00 : missed by Daeshun Ruffin(Jackson St.) 3-14,period_1 player_786034425 team_314,False
2823599893,9.0,32.0,301,True,1st 15:19:00 : made by Kylan Boswell(Illinois) 3-16,period_1 player_786034413 team_301,False
2823599894,87.0,51.0,314,False,1st 15:04:00 : missed by Dorian McMillian(Jackson St.) 3-16,period_1 player_786034430 team_314,False
2823599900,7.0,4.0,301,True,1st 14:51:00 : made by Ben Humrichous(Illinois) 3-19,period_1 player_786034416 team_301,False
2823599902,86.0,33.0,314,False,1st 14:32:00 : missed by Jalen Tatum(Jackson St.) 3-19,period_1 player_786034431 team_314,False
2823599908,33.0,46.0,301,True,1st 14:09:00 : made by Tomislav Ivisic(Illinois) 3-22,period_1 player_786034418 team_301,False
2823599918,90.0,3.0,314,False,1st 13:53:00 : missed by Mike Williams(Jackson St.) 3-22,period_1 player_786034435 team_314,False
2823599924,84.0,46.0,314,True,1st 13:21:00 : made by Mike Williams(Jackson St.) 5-24,period_1 player_786034435 team_314,False
2823599925,2.0,97.0,301,False,1st 13:07:00 : missed by Zvonimir Ivisic(Illinois) 5-24,period_1 player_786034415 team_301,False
2823599935,83.0,6.0,314,False,1st 12:27:00 : missed by Mike Williams(Jackson St.) 6-24,period_1 player_786034435 team_314,False
2823599939,76.0,19.0,314,False,1st 12:03:00 : missed by Delyle Williams(Jackson St.) 6-24,period_1 player_786034428 team_314,False
2823599941,26.0,78.0,301,True,1st 11:39:00 : made by Ben Humrichous(Illinois) 6-27,period_1 player_786034416 team_301,False
2823599943,73.0,92.0,314,False,1st 11:28:00 : missed by Tamarion Hoover(Jackson St.) 6-27,period_1 player_786034429 team_314,False
2823599945,30.0,71.0,301,True,1st 11:19:00 : made by Tomislav Ivisic(Illinois) 6-30,period_1 player_786034418 team_301,False
2823599960,84.0,6.0,314,True,1st 11:02:00 : made by Deyan Kolev(Jackson St.) 9-30,period_1 player_786034434 team_314,False
2823599964,83.0,6.0,314,False,1st 10:38:00 : missed by Kedrick Simmons(Jackson St.) 9-30,period_1 player_786034433 team_314,False
2823599975,11.0,2.0,301,True,1st 10:30:00 : made by Tomislav Ivisic(Illinois) 10-33,period_1 player_786034418 team_301,False
