shot_id,x,y,team_id,made,description,meta,flag2
2823135273,7.0,96.0,311,True,1st 19:47:00 : made by Tamin Lipsey(Iowa St.) 0-3,period_1 player_785988941 team_311,False
2823135275,88.0,43.0,222,False,1st 19:22:00 : missed by Cyril Martynov(FDU) 0-3,period_1 player_785988963 team_222,False
2823135277,7.0,78.0,311,False,1st 18:58:00 : missed by Killyan Toure(Iowa St.) 0-3,period_1 player_785988957 team_311,False
2823135279,10.0,32.0,311,True,1st 18:52:00 : made by Joshua Jefferson(Iowa St.) 0-5,period_1 player_785988942 team_311,False
2823135286,7.0,55.0,311,False,1st 18:07:00 : missed by Joshua Jefferson(Iowa St.) 1-5,period_1 player_785988942 team_311,False
2823135288,74.0,62.0,222,False,1st 17:48:00 : missed by David Jevtic(FDU) 1-5,period_1 player_785988980 team_222,False
2823135290,23.0,84.0,311,False,1st 17:39:00 : missed by Tamin Lipsey(Iowa St.) 1-5,period_1 player_785988941 team_311,False
2823135292,93.0,96.0,222,False,1st 17:19:00 : missed by David Jevtic(FDU) 1-5,period_1 player_785988980 team_222,False
2823135294,10.0,79.0,311,False,1st 17:05:00 : missed by Milan Momcilovic(Iowa St.) 1-5,period_1 player_785988948 team_311,False
2823135296,29.0,70.0,311,False,1st 17:01:00 : missed by Milan Momcilovic(Iowa St.) 1-5,period_1 player_785988948 team_311,False
2823135304,93.0,54.0,222,True,1st 16:44:00 : made by Taeshaud Jackson(FDU) 3-5,period_1 player_785988965 team_222,False
2823135306,32.0,30.0,311,True,1st 16:25:00 : made by Milan Momcilovic(Iowa St.) 3-8,period_1 player_785988948 team_311,False
2823135313,77.0,85.0,222,False,1st 15:38:00 : missed by Eric Parnell(FDU) 3-8,period_1 player_785988967 team_222,False
2823135315,10.0,6.0,311,True,1st 15:15:00 : made by Milan Momcilovic(Iowa St.) 3-11,period_1 player_785988948 team_311,False
2823135319,7.0,43.0,311,True,1st 14:58:00 : made by Tamin Lipsey(Iowa St.) 3-13,period_1 player_785988941 team_311,False
2823135320,78.0,86.0,222,False,1st 14:39:00 : missed by Taeshaud Jackson(FDU) 3-13,period_1 player_785988965 team_222,False
2823135326,94.0,54.0,222,True,1st 14:34:00 : made by Taeshaud Jackson(FDU) 5-13,period_1 player_785988965 team_222,False
2823135328,7.0,50.0,311,True,1st 14:13:00 : made by Blake Buchanan(Iowa St.) 5-15,period_1 player_785988945 team_311,False
2823135335,12.0,55.0,311,True,1st 13:38:00 : made by Blake Buchanan(Iowa St.) 5-17,period_1 player_785988945 team_311,False
2823135338,7.0,41.0,311,False,1st 13:14:00 : missed by Blake Buchanan(Iowa St.) 5-17,period_1 player_785988945 team_311,False
2823135342,89.0,59.0,222,False,1st 12:48:00 : missed by Arthur Cox(FDU) 5-17,period_1 player_785988971 team_222,False
2823135344,91.0,52.0,222,True,1st 12:45:00 : made by Arthur Cox(FDU) 7-17,period_1 player_785988971 team_222,False
2823135349,69.0,64.0,222,False,1st 12:22:00 : missed by Joey Niesman(FDU) 7-17,period_1 player_785988969 team_222,False
2823135353,93.0,51.0,222,True,1st 12:13:00 : made by Eric Parnell(FDU) 9-17,period_1 player_785988967 team_222,False
2823135354,28.0,72.0,311,True,1st 11:54:00 : made by Nate Heise(Iowa St.) 9-20,period_1 player_785988940 team_311,False
2823135358,6.0,53.0,311,True,1st 11:34:00 : made by Killyan Toure(Iowa St.) 9-22,period_1 player_785988957 team_311,False
2823135360,94.0,57.0,222,True,1st 11:14:00 : made by Taeshaud Jackson(FDU) 11-22,period_1 player_785988965 team_222,False
2823135361,8.0,49.0,311,True,1st 10:56:00 : made by Tamin Lipsey(Iowa St.) 11-24,period_1 player_785988941 team_311,False
2823135376,32.0,34.0,311,False,1st 10:15:00 : missed by Jamarion Batemon(Iowa St.) 11-24,period_1 player_785988952 team_311,False
2823135378,73.0,10.0,222,False,1st 09:53:00 : missed by Chidube Ekwommadu(FDU) 11-24,period_1 player_785988972 team_222,False
2823135380,6.0,5.0,311,True,1st 09:39:00 : made by Milan Momcilovic(Iowa St.) 11-27,period_1 player_785988948 team_311,False
2823135396,13.0,58.0,311,True,1st 08:30:00 : made by Milan Momcilovic(Iowa St.) 11-31,period_1 player_785988948 team_311,False
2823135397,93.0,59.0,222,False,1st 08:09:00 : missed by David Jevtic(FDU) 11-31,period_1 player_785988980 team_222,False
2823135399,93.0,46.0,222,True,1st 08:02:00 : made by David Jevtic(FDU) 13-31,period_1 player_785988980 team_222,False
2823135400,17.0,56.0,311,False,1st 07:43:00 : missed by Milan Momcilovic(Iowa St.) 13-31,period_1 player_785988948 team_311,False
2823135402,9.0,43.0,311,False,1st 07:40:00 : missed by Blake Buchanan(Iowa St.) 13-31,period_1 player_785988945 team_311,False
2823135414,89.0,72.0,222,False,1st 07:15:00 : missed by Taeshaud Jackson(FDU) 13-31,period_1 player_785988965 team_222,False
2823135416,32.0,57.0,311,False,1st 07:01:00 : missed by Joshua Jefferson(Iowa St.) 13-31,period_1 player_785988942 team_311,False
2823135421,11.0,28.0,311,False,1st 06:12:00 : missed by Dominick Nelson(Iowa St.) 13-31,period_1 player_785988950 team_311,False
2823135425,7.0,47.0,311,True,1st 05:47:00 : made by Dominick Nelson(Iowa St.) 13-33,period_1 player_785988950 team_311,False
2823135427,67.0,48.0,222,False,1st 05:26:00 : missed by Eric Parnell(FDU) 13-33,period_1 player_785988967 team_222,False
2823135429,93.0,6.0,222,True,1st 05:18:00 : made by Joey Niesman(FDU) 16-33,period_1 player_785988969 team_222,False
2823135437,16.0,7.0,311,False,1st 05:02:00 : missed by Dominick Nelson(Iowa St.) 16-33,period_1 player_785988950 team_311,False
2823135439,11.0,6.0,311,False,1st 04:42:00 : missed by Tamin Lipsey(Iowa St.) 16-33,period_1 player_785988941 team_311,False
2823135445,89.0,42.0,222,False,1st 04:10:00 : missed by Arthur Cox(FDU) 16-33,period_1 player_785988971 team_222,False
2823135447,8.0,56.0,311,False,1st 04:03:00 : missed by Dominick Nelson(Iowa St.) 16-33,period_1 player_785988950 team_311,False
2823135458,69.0,30.0,222,False,1st 03:38:00 : missed by Eric Parnell(FDU) 16-33,period_1 player_785988967 team_222,False
2823135464,8.0,45.0,311,True,1st 03:28:00 : made by Milan Momcilovic(Iowa St.) 16-35,period_1 player_785988948 team_311,False
2823135473,76.0,82.0,222,True,1st 02:54:00 : made by Eric Parnell(FDU) 19-35,period_1 player_785988967 team_222,False
2823135475,13.0,48.0,311,True,1st 02:31:00 : made by Milan Momcilovic(Iowa St.) 19-37,period_1 player_785988948 team_311,False
2823135476,93.0,63.0,222,False,1st 02:19:00 : missed by Arthur Cox(FDU) 19-37,period_1 player_785988971 team_222,False
2823135493,13.0,50.0,311,True,1st 01:24:00 : made by Joshua Jefferson(Iowa St.) 19-40,period_1 player_785988942 team_311,False
2823135498,7.0,54.0,311,True,1st 00:48:60 : made by Tamin Lipsey(Iowa St.) 19-43,period_1 player_785988941 team_311,False
2823135505,8.0,46.0,311,True,1st 00:02:80 : made by Tamin Lipsey(Iowa St.) 19-45,period_1 player_785988941 team_311,False
2823135516,92.0,3.0,311,False,2nd 19:34:00 : missed by Tamin Lipsey(Iowa St.) 19-45,period_2 player_785988941 team_311,False
2823135518,7.0,54.0,222,True,2nd 19:21:00 : made by Taeshaud Jackson(FDU) 21-45,period_2 player_785988965 team_222,False
2823135519,86.0,48.0,311,False,2nd 19:04:00 : missed by Joshua Jefferson(Iowa St.) 21-45,period_2 player_785988942 team_311,False
2823135521,88.0,50.0,311,False,2nd 19:00:00 : missed by Joshua Jefferson(Iowa St.) 21-45,period_2 player_785988942 team_311,False
2823135523,23.0,85.0,222,False,2nd 18:49:00 : missed by Joey Niesman(FDU) 21-45,period_2 player_785988969 team_222,False
2823135525,32.0,48.0,222,False,2nd 18:44:00 : missed by Cyril Martynov(FDU) 21-45,period_2 player_785988963 team_222,False
2823135527,79.0,13.0,311,False,2nd 18:35:00 : missed by Killyan Toure(Iowa St.) 21-45,period_2 player_785988957 team_311,False
2823135529,13.0,42.0,222,False,2nd 18:13:00 : missed by Cyril Martynov(FDU) 21-45,period_2 player_785988963 team_222,False
2823135534,26.0,82.0,222,False,2nd 17:54:00 : missed by Eric Parnell(FDU) 21-45,period_2 player_785988967 team_222,False
2823135536,88.0,41.0,311,True,2nd 17:40:00 : made by Joshua Jefferson(Iowa St.) 21-47,period_2 player_785988942 team_311,False
2823135537,21.0,88.0,222,False,2nd 17:29:00 : missed by Eric Parnell(FDU) 21-47,period_2 player_785988967 team_222,False
2823135539,68.0,63.0,311,False,2nd 17:20:00 : missed by Milan Momcilovic(Iowa St.) 21-47,period_2 player_785988948 team_311,False
2823135549,7.0,96.0,222,False,2nd 16:50:00 : missed by Taeshaud Jackson(FDU) 21-47,period_2 player_785988965 team_222,False
2823135551,93.0,96.0,311,True,2nd 16:34:00 : made by Milan Momcilovic(Iowa St.) 21-50,period_2 player_785988948 team_311,False
2823135557,7.0,57.0,222,False,2nd 16:10:00 : missed by Eric Parnell(FDU) 21-50,period_2 player_785988967 team_222,False
2823135559,81.0,7.0,311,True,2nd 15:55:00 : made by Killyan Toure(Iowa St.) 21-53,period_2 player_785988957 team_311,False
2823135565,20.0,89.0,222,False,2nd 15:29:00 : missed by Chidube Ekwommadu(FDU) 21-53,period_2 player_785988972 team_222,False
2823135567,83.0,90.0,311,True,2nd 15:13:00 : made by Milan Momcilovic(Iowa St.) 21-56,period_2 player_785988948 team_311,False
2823135578,8.0,95.0,222,False,2nd 14:38:00 : missed by Eric Parnell(FDU) 21-56,period_2 player_785988967 team_222,False
2823135580,93.0,56.0,311,False,2nd 14:34:00 : missed by Tamin Lipsey(Iowa St.) 21-56,period_2 player_785988941 team_311,False
2823135583,96.0,96.0,311,False,2nd 14:31:00 : missed by Nate Heise(Iowa St.) 21-56,period_2 player_785988940 team_311,False
2823135593,4.0,95.0,222,True,2nd 14:15:00 : made by Eric Parnell(FDU) 24-56,period_2 player_785988967 team_222,False
2823135597,89.0,7.0,311,False,2nd 13:53:00 : missed by Nate Heise(Iowa St.) 24-56,period_2 player_785988940 team_311,False
2823135621,91.0,36.0,311,False,2nd 13:41:00 : missed by Tamin Lipsey(Iowa St.) 24-57,period_2 player_785988941 team_311,False
2823135629,8.0,7.0,222,True,2nd 13:20:00 : made by David Jevtic(FDU) 27-57,period_2 player_785988980 team_222,False
2823135633,92.0,43.0,311,True,2nd 12:53:00 : made by Dominykas Pleta(Iowa St.) 27-59,period_2 player_785988955 team_311,False
2823135638,92.0,53.0,311,True,2nd 12:39:00 : made by Tamin Lipsey(Iowa St.) 27-61,period_2 player_785988941 team_311,False
2823135640,10.0,51.0,222,True,2nd 12:27:00 : made by David Jevtic(FDU) 29-61,period_2 player_785988980 team_222,False
2823135642,70.0,64.0,311,False,2nd 12:10:00 : missed by Dominick Nelson(Iowa St.) 29-61,period_2 player_785988950 team_311,False
2823135695,86.0,43.0,311,True,2nd 11:38:00 : made by Joshua Jefferson(Iowa St.) 30-63,period_2 player_785988942 team_311,False
