,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2826671776,31.0,23.0,631,False,1st 19:32:00 : missed by Brenton Knapper(Santa Clara) 0-0,period_1 player_786287265 team_631,False,786287265,1,19:32:00,Brenton Knapper,Santa Clara,0-0,missed,69.0,27.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
1,2826671778,93.0,46.0,402,False,1st 19:23:00 : missed by Tyshawn Archie(McNeese) 0-0,period_1 player_786287283 team_402,False,786287283,1,19:23:00,Tyshawn Archie,McNeese,0-0,missed,93.0,46.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
2,2826671782,78.0,16.0,402,False,1st 18:56:00 : missed by Javohn Garcia(McNeese) 0-0,period_1 player_786287276 team_402,False,786287276,1,18:56:00,Javohn Garcia,McNeese,0-0,missed,78.0,16.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
3,2826671784,68.0,48.0,402,True,1st 18:52:00 : made by DJ Richards(McNeese) 3-0,period_1 player_786287278 team_402,False,786287278,1,18:52:00,DJ Richards,McNeese,3-0,made,68.0,48.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
4,2826671787,83.0,51.0,402,False,1st 18:11:00 : missed by Tyshawn Archie(McNeese) 3-0,period_1 player_786287283 team_402,False,786287283,1,18:11:00,Tyshawn Archie,McNeese,3-0,missed,83.0,51.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
5,2826671789,74.0,74.0,402,True,1st 17:58:00 : made by DJ Richards(McNeese) 6-0,period_1 player_786287278 team_402,False,786287278,1,17:58:00,DJ Richards,McNeese,6-0,made,74.0,74.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
6,2826671792,27.0,28.0,631,False,1st 17:34:00 : missed by Christian Hammond(Santa Clara) 6-0,period_1 player_786287267 team_631,False,786287267,1,17:34:00,Christian Hammond,Santa Clara,6-0,missed,73.0,22.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
7,2826671794,12.0,44.0,631,False,1st 17:22:00 : missed by Christian Hammond(Santa Clara) 6-0,period_1 player_786287267 team_631,False,786287267,1,17:22:00,Christian Hammond,Santa Clara,6-0,missed,88.0,6.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
8,2826671796,8.0,49.0,631,True,1st 17:20:00 : made by Allen Graves(Santa Clara) 6-2,period_1 player_786287269 team_631,False,786287269,1,17:20:00,Allen Graves,Santa Clara,6-2,made,92.0,1.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
9,2826671797,92.0,51.0,402,True,1st 17:12:00 : made by Tyshawn Archie(McNeese) 8-2,period_1 player_786287283 team_402,False,786287283,1,17:12:00,Tyshawn Archie,McNeese,8-2,made,92.0,51.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
10,2826671806,15.0,19.0,631,False,1st 16:36:00 : missed by Elijah Mahi(Santa Clara) 8-2,period_1 player_786287270 team_631,False,786287270,1,16:36:00,Elijah Mahi,Santa Clara,8-2,missed,85.0,31.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
11,2826671808,30.0,64.0,631,False,1st 16:31:00 : missed by Brenton Knapper(Santa Clara) 8-2,period_1 player_786287265 team_631,False,786287265,1,16:31:00,Brenton Knapper,Santa Clara,8-2,missed,70.0,-14.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
12,2826671810,91.0,48.0,402,False,1st 16:12:00 : missed by Jacolb Fredson-Cole(McNeese) 8-2,period_1 player_786287282 team_402,False,786287282,1,16:12:00,Jacolb Fredson-Cole,McNeese,8-2,missed,91.0,48.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
13,2826671829,26.0,79.0,631,True,1st 15:35:00 : made by Sash Gavalyugov(Santa Clara) 8-5,period_1 player_786287268 team_631,False,786287268,1,15:35:00,Sash Gavalyugov,Santa Clara,8-5,made,74.0,-29.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
14,2826671836,25.0,19.0,631,False,1st 14:47:00 : missed by Sash Gavalyugov(Santa Clara) 8-5,period_1 player_786287268 team_631,False,786287268,1,14:47:00,Sash Gavalyugov,Santa Clara,8-5,missed,75.0,31.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
15,2826671840,19.0,71.0,631,True,1st 14:26:00 : made by Sash Gavalyugov(Santa Clara) 8-7,period_1 player_786287268 team_631,False,786287268,1,14:26:00,Sash Gavalyugov,Santa Clara,8-7,made,81.0,-21.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
16,2826671847,9.0,47.0,631,True,1st 13:55:00 : made by Sash Gavalyugov(Santa Clara) 8-9,period_1 player_786287268 team_631,False,786287268,1,13:55:00,Sash Gavalyugov,Santa Clara,8-9,made,91.0,3.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
17,2826671849,71.0,66.0,402,False,1st 13:30:00 : missed by Garwey Dual(McNeese) 8-9,period_1 player_786287280 team_402,False,786287280,1,13:30:00,Garwey Dual,McNeese,8-9,missed,71.0,66.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
18,2826671863,89.0,47.0,402,True,1st 13:08:00 : made by Tyshawn Archie(McNeese) 10-11,period_1 player_786287283 team_402,False,786287283,1,13:08:00,Tyshawn Archie,McNeese,10-11,made,89.0,47.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
19,2826671864,29.0,29.0,631,False,1st 12:44:00 : missed by KJ Cochran(Santa Clara) 10-11,period_1 player_786287272 team_631,False,786287272,1,12:44:00,KJ Cochran,Santa Clara,10-11,missed,71.0,21.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
20,2826671866,92.0,54.0,402,False,1st 12:24:00 : missed by Javohn Garcia(McNeese) 10-11,period_1 player_786287276 team_402,False,786287276,1,12:24:00,Javohn Garcia,McNeese,10-11,missed,92.0,54.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
21,2826671868,78.0,17.0,402,True,1st 12:17:00 : made by Tyshawn Archie(McNeese) 13-11,period_1 player_786287283 team_402,False,786287283,1,12:17:00,Tyshawn Archie,McNeese,13-11,made,78.0,17.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
22,2826671870,27.0,75.0,631,False,1st 11:52:00 : missed by Thierry Darlan(Santa Clara) 13-11,period_1 player_786287273 team_631,False,786287273,1,11:52:00,Thierry Darlan,Santa Clara,13-11,missed,73.0,-25.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
23,2826671884,81.0,52.0,402,True,1st 11:37:00 : made by DJ Richards(McNeese) 15-12,period_1 player_786287278 team_402,False,786287278,1,11:37:00,DJ Richards,McNeese,15-12,made,81.0,52.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
24,2826671886,19.0,92.0,631,False,1st 11:20:00 : missed by Elijah Mahi(Santa Clara) 15-12,period_1 player_786287270 team_631,False,786287270,1,11:20:00,Elijah Mahi,Santa Clara,15-12,missed,81.0,-42.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
25,2826671889,92.0,47.0,402,False,1st 11:10:00 : missed by Tyshawn Archie(McNeese) 15-12,period_1 player_786287283 team_402,False,786287283,1,11:10:00,Tyshawn Archie,McNeese,15-12,missed,92.0,47.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
26,2826671891,28.0,25.0,631,False,1st 10:58:00 : missed by Christian Hammond(Santa Clara) 15-12,period_1 player_786287267 team_631,False,786287267,1,10:58:00,Christian Hammond,Santa Clara,15-12,missed,72.0,25.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
27,2826671899,10.0,45.0,631,False,1st 10:44:00 : missed by Thierry Darlan(Santa Clara) 15-12,period_1 player_786287273 team_631,False,786287273,1,10:44:00,Thierry Darlan,Santa Clara,15-12,missed,90.0,5.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
28,2826671902,72.0,73.0,402,False,1st 10:33:00 : missed by Tyshawn Archie(McNeese) 15-12,period_1 player_786287283 team_402,False,786287283,1,10:33:00,Tyshawn Archie,McNeese,15-12,missed,72.0,73.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
29,2826671904,9.0,48.0,631,True,1st 10:27:00 : made by Elijah Mahi(Santa Clara) 15-14,period_1 player_786287270 team_631,False,786287270,1,10:27:00,Elijah Mahi,Santa Clara,15-14,made,91.0,2.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
30,2826671913,8.0,53.0,631,True,1st 09:38:00 : made by Elijah Mahi(Santa Clara) 15-16,period_1 player_786287270 team_631,False,786287270,1,09:38:00,Elijah Mahi,Santa Clara,15-16,made,92.0,-3.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
31,2826671914,69.0,44.0,402,True,1st 09:14:00 : made by Jerrell Colbert(McNeese) 18-16,period_1 player_786287277 team_402,False,786287277,1,09:14:00,Jerrell Colbert,McNeese,18-16,made,69.0,44.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
32,2826671916,10.0,49.0,631,False,1st 08:57:00 : missed by Allen Graves(Santa Clara) 18-16,period_1 player_786287269 team_631,False,786287269,1,08:57:00,Allen Graves,Santa Clara,18-16,missed,90.0,1.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
33,2826671919,68.0,49.0,402,False,1st 08:47:00 : missed by Larry Johnson(McNeese) 18-16,period_1 player_786287284 team_402,False,786287284,1,08:47:00,Larry Johnson,McNeese,18-16,missed,68.0,49.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
34,2826671921,94.0,50.0,402,True,1st 08:43:00 : made by Garwey Dual(McNeese) 20-16,period_1 player_786287280 team_402,False,786287280,1,08:43:00,Garwey Dual,McNeese,20-16,made,94.0,50.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
35,2826671933,31.0,35.0,631,False,1st 07:53:00 : missed by KJ Cochran(Santa Clara) 20-18,period_1 player_786287272 team_631,False,786287272,1,07:53:00,KJ Cochran,Santa Clara,20-18,missed,69.0,15.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
36,2826671935,93.0,48.0,402,True,1st 07:47:00 : made by Yanis Ndjonga(McNeese) 22-18,period_1 player_786287281 team_402,False,786287281,1,07:47:00,Yanis Ndjonga,McNeese,22-18,made,93.0,48.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
37,2826671937,20.0,90.0,631,False,1st 07:31:00 : missed by KJ Cochran(Santa Clara) 22-18,period_1 player_786287272 team_631,False,786287272,1,07:31:00,KJ Cochran,Santa Clara,22-18,missed,80.0,-40.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
38,2826671947,91.0,44.0,402,False,1st 07:17:00 : missed by Larry Johnson(McNeese) 22-18,period_1 player_786287284 team_402,False,786287284,1,07:17:00,Larry Johnson,McNeese,22-18,missed,91.0,44.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
39,2826671949,74.0,19.0,402,False,1st 07:14:00 : missed by DJ Richards(McNeese) 22-18,period_1 player_786287278 team_402,False,786287278,1,07:14:00,DJ Richards,McNeese,22-18,missed,74.0,19.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
40,2826671958,93.0,48.0,402,True,1st 07:10:00 : made by Larry Johnson(McNeese) 24-19,period_1 player_786287284 team_402,False,786287284,1,07:10:00,Larry Johnson,McNeese,24-19,made,93.0,48.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
41,2826671959,10.0,96.0,631,True,1st 06:51:00 : made by Jake Ensminger(Santa Clara) 24-22,period_1 player_786287266 team_631,False,786287266,1,06:51:00,Jake Ensminger,Santa Clara,24-22,made,90.0,-46.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
42,2826671963,29.0,30.0,631,True,1st 06:35:00 : made by Sash Gavalyugov(Santa Clara) 24-25,period_1 player_786287268 team_631,False,786287268,1,06:35:00,Sash Gavalyugov,Santa Clara,24-25,made,71.0,20.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
43,2826671973,29.0,32.0,631,False,1st 06:06:00 : missed by Sash Gavalyugov(Santa Clara) 24-25,period_1 player_786287268 team_631,False,786287268,1,06:06:00,Sash Gavalyugov,Santa Clara,24-25,missed,71.0,18.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
44,2826671977,91.0,52.0,402,False,1st 05:36:00 : missed by Jacolb Fredson-Cole(McNeese) 24-25,period_1 player_786287282 team_402,False,786287282,1,05:36:00,Jacolb Fredson-Cole,McNeese,24-25,missed,91.0,52.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
45,2826671979,92.0,52.0,402,True,1st 05:34:00 : made by Yanis Ndjonga(McNeese) 26-25,period_1 player_786287281 team_402,False,786287281,1,05:34:00,Yanis Ndjonga,McNeese,26-25,made,92.0,52.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
46,2826671995,15.0,50.0,631,False,1st 04:49:00 : missed by Allen Graves(Santa Clara) 27-25,period_1 player_786287269 team_631,False,786287269,1,04:49:00,Allen Graves,Santa Clara,27-25,missed,85.0,0.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
47,2826672004,92.0,52.0,402,False,1st 04:09:00 : missed by Javohn Garcia(McNeese) 27-25,period_1 player_786287276 team_402,False,786287276,1,04:09:00,Javohn Garcia,McNeese,27-25,missed,92.0,52.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
48,2826672006,8.0,51.0,631,False,1st 04:02:00 : missed by Christian Hammond(Santa Clara) 27-25,period_1 player_786287267 team_631,False,786287267,1,04:02:00,Christian Hammond,Santa Clara,27-25,missed,92.0,-1.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
49,2826672008,6.0,50.0,631,False,1st 04:00:00 : missed by Allen Graves(Santa Clara) 27-25,period_1 player_786287269 team_631,False,786287269,1,04:00:00,Allen Graves,Santa Clara,27-25,missed,94.0,0.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
50,2826672010,9.0,52.0,631,True,1st 03:58:00 : made by Allen Graves(Santa Clara) 27-27,period_1 player_786287269 team_631,False,786287269,1,03:58:00,Allen Graves,Santa Clara,27-27,made,91.0,-2.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
51,2826672022,30.0,30.0,631,True,1st 02:59:00 : made by Brenton Knapper(Santa Clara) 27-30,period_1 player_786287265 team_631,False,786287265,1,02:59:00,Brenton Knapper,Santa Clara,27-30,made,70.0,20.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
52,2826672028,93.0,53.0,402,True,1st 02:36:00 : made by Garwey Dual(McNeese) 29-30,period_1 player_786287280 team_402,False,786287280,1,02:36:00,Garwey Dual,McNeese,29-30,made,93.0,53.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
53,2826672038,9.0,52.0,631,False,1st 02:22:00 : missed by Thierry Darlan(Santa Clara) 29-31,period_1 player_786287273 team_631,False,786287273,1,02:22:00,Thierry Darlan,Santa Clara,29-31,missed,91.0,-2.0,McNeese,Santa Clara,2026,McNeeseSantaClara11072025,Away,Q1B
