shot_id,x,y,team_id,made,description,meta,flag2
2823066710,19.0,91.0,153,True,1st 19:52:00 : made by Andrew Alekseyenko(Colgate) 3-0,period_1 player_785985578 team_153,False
2823066712,92.0,48.0,416,False,1st 19:33:00 : missed by Carson Cooper(Michigan St.) 3-0,period_1 player_785985560 team_416,False
2823066714,11.0,5.0,153,False,1st 19:13:00 : missed by Brady Cummins(Colgate) 3-0,period_1 player_785985570 team_153,False
2823066716,81.0,23.0,416,True,1st 19:03:00 : made by Jeremy Fears Jr.(Michigan St.) 3-2,period_1 player_785985561 team_416,False
2823066719,74.0,77.0,416,True,1st 18:38:00 : made by Kur Teng(Michigan St.) 3-5,period_1 player_785985563 team_416,False
2823066721,8.0,43.0,153,False,1st 18:17:00 : missed by Andrew Alekseyenko(Colgate) 3-5,period_1 player_785985578 team_153,False
2823066723,77.0,87.0,416,False,1st 18:12:00 : missed by Kur Teng(Michigan St.) 3-5,period_1 player_785985563 team_416,False
2823066725,18.0,8.0,153,False,1st 18:01:00 : missed by Ben Tweedy(Colgate) 3-5,period_1 player_785985575 team_153,False
2823066727,92.0,23.0,416,False,1st 17:40:00 : missed by Carson Cooper(Michigan St.) 3-5,period_1 player_785985560 team_416,False
2823066729,8.0,53.0,153,False,1st 17:22:00 : missed by Brady Cummins(Colgate) 3-5,period_1 player_785985570 team_153,False
2823066732,78.0,43.0,416,False,1st 17:11:00 : missed by Coen Carr(Michigan St.) 3-5,period_1 player_785985562 team_416,False
2823066734,23.0,12.0,153,False,1st 17:01:00 : missed by Sam Wright(Colgate) 3-5,period_1 player_785985574 team_153,False
2823066736,76.0,17.0,416,True,1st 16:49:00 : made by Jaxon Kohler(Michigan St.) 3-8,period_1 player_785985559 team_416,False
2823066738,7.0,97.0,153,False,1st 16:23:00 : missed by Andrew Alekseyenko(Colgate) 3-8,period_1 player_785985578 team_153,False
2823066740,79.0,30.0,416,False,1st 16:07:00 : missed by Jeremy Fears Jr.(Michigan St.) 3-8,period_1 player_785985561 team_416,False
2823066749,23.0,47.0,153,False,1st 15:37:00 : missed by Jalen Cox(Colgate) 3-8,period_1 player_785985572 team_153,False
2823066753,30.0,71.0,153,True,1st 14:57:00 : made by Brady Cummins(Colgate) 6-8,period_1 player_785985570 team_153,False
2823066755,89.0,70.0,416,False,1st 14:30:00 : missed by Jaxon Kohler(Michigan St.) 6-8,period_1 player_785985559 team_416,False
2823066757,77.0,85.0,416,True,1st 14:22:00 : made by Trey Fort(Michigan St.) 6-11,period_1 player_785985557 team_416,False
2823066761,91.0,48.0,416,True,1st 13:58:00 : made by Jeremy Fears Jr.(Michigan St.) 6-13,period_1 player_785985561 team_416,False
2823066762,16.0,45.0,153,False,1st 13:43:00 : missed by Brady Cummins(Colgate) 6-13,period_1 player_785985570 team_153,False
2823066764,74.0,12.0,416,False,1st 13:29:00 : missed by Trey Fort(Michigan St.) 6-13,period_1 player_785985557 team_416,False
2823066766,75.0,17.0,416,False,1st 13:14:00 : missed by Jeremy Fears Jr.(Michigan St.) 6-13,period_1 player_785985561 team_416,False
2823066770,79.0,88.0,416,False,1st 13:00:00 : missed by Jordan Scott(Michigan St.) 6-13,period_1 player_785985566 team_416,False
2823066788,32.0,61.0,153,False,1st 12:27:00 : missed by Kyle Carlesimo(Colgate) 6-13,period_1 player_785985571 team_153,False
2823066790,75.0,80.0,416,False,1st 12:10:00 : missed by Trey Fort(Michigan St.) 6-13,period_1 player_785985557 team_416,False
2823066794,92.0,40.0,416,False,1st 11:54:00 : missed by Cameron Ward(Michigan St.) 6-13,period_1 player_785985567 team_416,False
2823066797,90.0,47.0,416,False,1st 11:50:00 : missed by Cameron Ward(Michigan St.) 6-13,period_1 player_785985567 team_416,False
2823066799,7.0,42.0,153,True,1st 11:46:00 : made by Ben Tweedy(Colgate) 8-13,period_1 player_785985575 team_153,False
2823066800,93.0,5.0,416,False,1st 11:19:00 : missed by Coen Carr(Michigan St.) 8-13,period_1 player_785985562 team_416,False
2823066808,75.0,81.0,416,False,1st 10:29:00 : missed by Divine Ugochukwu(Michigan St.) 8-13,period_1 player_785985565 team_416,False
2823066810,23.0,42.0,153,False,1st 10:06:00 : missed by Kyle Carlesimo(Colgate) 8-13,period_1 player_785985571 team_153,False
2823066812,6.0,39.0,153,True,1st 10:03:00 : made by Eyilayomi Odetoyinbo(Colgate) 10-13,period_1 player_785985577 team_153,False
2823066820,13.0,5.0,153,True,1st 09:41:00 : made by Josh Ahayere(Colgate) 13-14,period_1 player_785985576 team_153,False
