,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823205986,68.0,33.0,440,True,1st 19:19:00 : made by Christian King(Montana St.) 3-2,period_1 player_785993591 team_440,False,785993591,1,19:19:00,Christian King,Montana St.,3-2,made,68.0,33.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
1,2823205988,25.0,18.0,157,True,1st 19:02:00 : made by Sebastian Rancik(Colorado) 3-5,period_1 player_785993576 team_157,False,785993576,1,19:02:00,Sebastian Rancik,Colorado,3-5,made,75.0,32.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
2,2823205990,93.0,50.0,440,True,1st 18:36:00 : made by Patrick McMahon(Montana St.) 5-5,period_1 player_785993587 team_440,False,785993587,1,18:36:00,Patrick McMahon,Montana St.,5-5,made,93.0,50.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
3,2823205991,7.0,50.0,157,True,1st 18:08:00 : made by Bangot Dak(Colorado) 5-7,period_1 player_785993575 team_157,False,785993575,1,18:08:00,Bangot Dak,Colorado,5-7,made,93.0,0.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
4,2823205994,15.0,33.0,157,True,1st 17:17:00 : made by Felix Kossaras(Colorado) 5-9,period_1 player_785993577 team_157,False,785993577,1,17:17:00,Felix Kossaras,Colorado,5-9,made,85.0,17.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
5,2823205997,9.0,49.0,157,False,1st 16:56:00 : missed by Barrington Hargress(Colorado) 5-9,period_1 player_785993574 team_157,False,785993574,1,16:56:00,Barrington Hargress,Colorado,5-9,missed,91.0,1.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
6,2823206001,6.0,49.0,157,True,1st 16:27:00 : made by Bangot Dak(Colorado) 5-11,period_1 player_785993575 team_157,False,785993575,1,16:27:00,Bangot Dak,Colorado,5-11,made,94.0,1.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
7,2823206003,90.0,48.0,440,False,1st 16:09:00 : missed by Cavin Holden(Montana St.) 5-11,period_1 player_785993592 team_440,False,785993592,1,16:09:00,Cavin Holden,Montana St.,5-11,missed,90.0,48.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
8,2823206021,92.0,50.0,440,True,1st 15:38:00 : made by Davian Brown(Montana St.) 7-12,period_1 player_785993595 team_440,False,785993595,1,15:38:00,Davian Brown,Montana St.,7-12,made,92.0,50.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
9,2823206023,6.0,51.0,157,True,1st 15:18:00 : made by Bangot Dak(Colorado) 7-14,period_1 player_785993575 team_157,False,785993575,1,15:18:00,Bangot Dak,Colorado,7-14,made,94.0,-1.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
10,2823206025,73.0,82.0,440,True,1st 14:57:00 : made by Davian Brown(Montana St.) 10-14,period_1 player_785993595 team_440,False,785993595,1,14:57:00,Davian Brown,Montana St.,10-14,made,73.0,82.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
11,2823206031,4.0,96.0,157,False,1st 14:21:00 : missed by Isaiah Johnson(Colorado) 10-14,period_1 player_785993581 team_157,False,785993581,1,14:21:00,Isaiah Johnson,Colorado,10-14,missed,96.0,-46.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
12,2823206039,21.0,25.0,157,True,1st 13:58:00 : made by Sebastian Rancik(Colorado) 10-16,period_1 player_785993576 team_157,False,785993576,1,13:58:00,Sebastian Rancik,Colorado,10-16,made,79.0,25.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
13,2823206041,95.0,4.0,440,False,1st 13:50:00 : missed by Davian Brown(Montana St.) 10-16,period_1 player_785993595 team_440,False,785993595,1,13:50:00,Davian Brown,Montana St.,10-16,missed,95.0,4.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
14,2823206043,7.0,49.0,157,False,1st 13:28:00 : missed by Jalin Holland(Colorado) 10-16,period_1 player_785993583 team_157,False,785993583,1,13:28:00,Jalin Holland,Colorado,10-16,missed,93.0,1.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
15,2823206046,6.0,50.0,157,True,1st 13:18:00 : made by Josiah Sanders(Colorado) 10-18,period_1 player_785993582 team_157,False,785993582,1,13:18:00,Josiah Sanders,Colorado,10-18,made,94.0,0.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
16,2823206056,90.0,47.0,440,False,1st 12:35:00 : missed by Christian King(Montana St.) 12-18,period_1 player_785993591 team_440,False,785993591,1,12:35:00,Christian King,Montana St.,12-18,missed,90.0,47.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
17,2823206058,11.0,42.0,157,True,1st 12:26:00 : made by Josiah Sanders(Colorado) 12-20,period_1 player_785993582 team_157,False,785993582,1,12:26:00,Josiah Sanders,Colorado,12-20,made,89.0,8.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
18,2823206068,94.0,44.0,440,False,1st 11:45:00 : missed by Davian Brown(Montana St.) 12-20,period_1 player_785993595 team_440,False,785993595,1,11:45:00,Davian Brown,Montana St.,12-20,missed,94.0,44.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
19,2823206070,10.0,94.0,157,False,1st 11:38:00 : missed by Ian Inman(Colorado) 12-20,period_1 player_785993580 team_157,False,785993580,1,11:38:00,Ian Inman,Colorado,12-20,missed,90.0,-44.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
20,2823206086,7.0,46.0,157,True,1st 10:45:00 : made by Felix Kossaras(Colorado) 14-22,period_1 player_785993577 team_157,False,785993577,1,10:45:00,Felix Kossaras,Colorado,14-22,made,93.0,4.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
21,2823206088,91.0,50.0,440,True,1st 10:32:00 : made by Chris Hodges(Montana St.) 16-22,period_1 player_785993588 team_440,False,785993588,1,10:32:00,Chris Hodges,Montana St.,16-22,made,91.0,50.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
22,2823206099,95.0,3.0,440,False,1st 09:59:00 : missed by Jeremiah Davis(Montana St.) 16-24,period_1 player_785993593 team_440,False,785993593,1,09:59:00,Jeremiah Davis,Montana St.,16-24,missed,95.0,3.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
23,2823206110,96.0,50.0,440,False,1st 09:20:00 : missed by Patrick McMahon(Montana St.) 16-25,period_1 player_785993587 team_440,False,785993587,1,09:20:00,Patrick McMahon,Montana St.,16-25,missed,96.0,50.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
24,2823206113,19.0,37.0,157,False,1st 08:58:00 : missed by Barrington Hargress(Colorado) 16-25,period_1 player_785993574 team_157,False,785993574,1,08:58:00,Barrington Hargress,Colorado,16-25,missed,81.0,13.0,Montana St.,Colorado,2026,MontanaStColorado11032025,Away,Q1B
