,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823111144,91.0,46.0,513,True,1st 19:34:00 : made by Jalen Haralson(Notre Dame) 0-2,period_1 player_785987745 team_513,False,785987745,1,19:34:00,Jalen Haralson,Notre Dame,0-2,made,91.0,46.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
1,2823111156,90.0,50.0,361,False,1st 18:37:00 : missed by Malachi Davis(LIU) 0-4,period_1 player_785987751 team_361,False,785987751,1,18:37:00,Malachi Davis,LIU,0-4,missed,90.0,50.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
2,2823111158,94.0,50.0,361,True,1st 18:28:00 : made by Greg Gordon(LIU) 2-4,period_1 player_785987752 team_361,False,785987752,1,18:28:00,Greg Gordon,LIU,2-4,made,94.0,50.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
3,2823111159,10.0,43.0,513,False,1st 18:26:00 : missed by Jalen Haralson(Notre Dame) 2-4,period_1 player_785987745 team_513,False,785987745,1,18:26:00,Jalen Haralson,Notre Dame,2-4,missed,90.0,7.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
4,2823111161,86.0,57.0,361,False,1st 18:20:00 : missed by Greg Gordon(LIU) 2-4,period_1 player_785987752 team_361,False,785987752,1,18:20:00,Greg Gordon,LIU,2-4,missed,86.0,57.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
5,2823111163,6.0,95.0,513,False,1st 18:01:00 : missed by Garrett Sundra(Notre Dame) 2-4,period_1 player_785987742 team_513,False,785987742,1,18:01:00,Garrett Sundra,Notre Dame,2-4,missed,94.0,-45.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
6,2823111165,7.0,46.0,513,True,1st 17:42:00 : made by Markus Burton(Notre Dame) 2-6,period_1 player_785987739 team_513,False,785987739,1,17:42:00,Markus Burton,Notre Dame,2-6,made,93.0,4.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
7,2823111169,6.0,55.0,513,True,1st 17:03:00 : made by Jalen Haralson(Notre Dame) 2-8,period_1 player_785987745 team_513,False,785987745,1,17:03:00,Jalen Haralson,Notre Dame,2-8,made,94.0,-5.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
8,2823111176,88.0,59.0,361,False,1st 16:47:00 : missed by Jamal Fuller(LIU) 2-8,period_1 player_785987749 team_361,False,785987749,1,16:47:00,Jamal Fuller,LIU,2-8,missed,88.0,59.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
9,2823111178,9.0,3.0,513,False,1st 16:41:00 : missed by Braeden Shrewsberry(Notre Dame) 2-8,period_1 player_785987737 team_513,False,785987737,1,16:41:00,Braeden Shrewsberry,Notre Dame,2-8,missed,91.0,47.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
10,2823111186,73.0,16.0,361,False,1st 16:17:00 : missed by Jomo Goings(LIU) 2-10,period_1 player_785987748 team_361,False,785987748,1,16:17:00,Jomo Goings,LIU,2-10,missed,73.0,16.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
11,2823111188,31.0,66.0,513,True,1st 16:09:00 : made by Garrett Sundra(Notre Dame) 2-13,period_1 player_785987742 team_513,False,785987742,1,16:09:00,Garrett Sundra,Notre Dame,2-13,made,69.0,-16.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
12,2823111203,31.0,70.0,513,True,1st 15:43:00 : made by Cole Certa(Notre Dame) 4-16,period_1 player_785987741 team_513,False,785987741,1,15:43:00,Cole Certa,Notre Dame,4-16,made,69.0,-20.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
13,2823111209,81.0,41.0,361,False,1st 15:23:00 : missed by Malachi Davis(LIU) 4-16,period_1 player_785987751 team_361,False,785987751,1,15:23:00,Malachi Davis,LIU,4-16,missed,81.0,41.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
14,2823111211,87.0,50.0,361,False,1st 15:18:00 : missed by Jomo Goings(LIU) 4-16,period_1 player_785987748 team_361,False,785987748,1,15:18:00,Jomo Goings,LIU,4-16,missed,87.0,50.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
15,2823111213,81.0,52.0,361,False,1st 15:03:00 : missed by Mason Porter-Brown(LIU) 4-16,period_1 player_785987754 team_361,False,785987754,1,15:03:00,Mason Porter-Brown,LIU,4-16,missed,81.0,52.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
16,2823111228,22.0,11.0,513,True,1st 14:07:00 : made by Cole Certa(Notre Dame) 5-21,period_1 player_785987741 team_513,False,785987741,1,14:07:00,Cole Certa,Notre Dame,5-21,made,78.0,39.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
17,2823111234,61.0,40.0,361,False,1st 13:31:00 : missed by Malachi Davis(LIU) 5-21,period_1 player_785987751 team_361,False,785987751,1,13:31:00,Malachi Davis,LIU,5-21,missed,61.0,40.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
18,2823111243,68.0,51.0,361,False,1st 13:05:00 : missed by Isaiah Miranda(LIU) 5-22,period_1 player_785987750 team_361,False,785987750,1,13:05:00,Isaiah Miranda,LIU,5-22,missed,68.0,51.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
19,2823111259,34.0,55.0,513,False,1st 12:51:00 : missed by Cole Certa(Notre Dame) 5-23,period_1 player_785987741 team_513,False,785987741,1,12:51:00,Cole Certa,Notre Dame,5-23,missed,66.0,-5.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
20,2823111261,91.0,49.0,361,True,1st 12:32:00 : made by Malachi Davis(LIU) 7-23,period_1 player_785987751 team_361,False,785987751,1,12:32:00,Malachi Davis,LIU,7-23,made,91.0,49.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
21,2823111262,8.0,46.0,513,True,1st 12:14:00 : made by Kebba Njie(Notre Dame) 7-25,period_1 player_785987736 team_513,False,785987736,1,12:14:00,Kebba Njie,Notre Dame,7-25,made,92.0,4.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
22,2823111264,92.0,49.0,361,False,1st 12:05:00 : missed by Isaiah Miranda(LIU) 7-25,period_1 player_785987750 team_361,False,785987750,1,12:05:00,Isaiah Miranda,LIU,7-25,missed,92.0,49.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
23,2823111268,7.0,5.0,513,False,1st 11:53:00 : missed by Ryder Frost(Notre Dame) 7-25,period_1 player_785987743 team_513,False,785987743,1,11:53:00,Ryder Frost,Notre Dame,7-25,missed,93.0,45.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
24,2823111283,6.0,54.0,513,False,1st 11:39:00 : missed by Jalen Haralson(Notre Dame) 7-25,period_1 player_785987745 team_513,False,785987745,1,11:39:00,Jalen Haralson,Notre Dame,7-25,missed,94.0,-4.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
25,2823111287,89.0,48.0,361,False,1st 11:04:00 : missed by Mason Porter-Brown(LIU) 7-25,period_1 player_785987754 team_361,False,785987754,1,11:04:00,Mason Porter-Brown,LIU,7-25,missed,89.0,48.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
26,2823111289,22.0,87.0,513,False,1st 10:35:00 : missed by Jalen Haralson(Notre Dame) 7-25,period_1 player_785987745 team_513,False,785987745,1,10:35:00,Jalen Haralson,Notre Dame,7-25,missed,78.0,-37.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
27,2823111299,87.0,40.0,361,False,1st 09:37:00 : missed by Greg Gordon(LIU) 8-25,period_1 player_785987752 team_361,False,785987752,1,09:37:00,Greg Gordon,LIU,8-25,missed,87.0,40.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
28,2823111302,93.0,56.0,361,True,1st 09:27:00 : made by Greg Gordon(LIU) 10-25,period_1 player_785987752 team_361,False,785987752,1,09:27:00,Greg Gordon,LIU,10-25,made,93.0,56.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
29,2823111309,8.0,45.0,513,False,1st 09:02:00 : missed by Braeden Shrewsberry(Notre Dame) 10-25,period_1 player_785987737 team_513,False,785987737,1,09:02:00,Braeden Shrewsberry,Notre Dame,10-25,missed,92.0,5.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
30,2823111312,25.0,81.0,513,True,1st 08:58:00 : made by Markus Burton(Notre Dame) 10-28,period_1 player_785987739 team_513,False,785987739,1,08:58:00,Markus Burton,Notre Dame,10-28,made,75.0,-31.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
31,2823111320,94.0,94.0,361,False,1st 08:25:00 : missed by Malachi Davis(LIU) 10-28,period_1 player_785987751 team_361,False,785987751,1,08:25:00,Malachi Davis,LIU,10-28,missed,94.0,94.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
32,2823111326,32.0,41.0,513,False,1st 08:12:00 : missed by Sir Mohammed(Notre Dame) 12-28,period_1 player_785987740 team_513,False,785987740,1,08:12:00,Sir Mohammed,Notre Dame,12-28,missed,68.0,9.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
33,2823111328,23.0,85.0,513,False,1st 08:06:00 : missed by Markus Burton(Notre Dame) 12-28,period_1 player_785987739 team_513,False,785987739,1,08:06:00,Markus Burton,Notre Dame,12-28,missed,77.0,-35.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
34,2823111330,8.0,53.0,513,False,1st 08:01:00 : missed by Carson Towt(Notre Dame) 12-28,period_1 player_785987735 team_513,False,785987735,1,08:01:00,Carson Towt,Notre Dame,12-28,missed,92.0,-3.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
35,2823111332,71.0,70.0,361,True,1st 07:53:00 : made by Jamal Fuller(LIU) 15-28,period_1 player_785987749 team_361,False,785987749,1,07:53:00,Jamal Fuller,LIU,15-28,made,71.0,70.0,Notre Dame,LIU,2026,LIUNotreDame11032025,Home,Q4
