,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823108441,31.0,33.0,285,False,1st 19:43:00 : missed by Aiden Disu(Holy Cross) 0-0,period_1 player_785987682 team_285,False,785987682,1,19:43:00,Aiden Disu,Holy Cross,0-0,missed,69.0,17.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
1,2823108443,92.0,51.0,556,True,1st 19:18:00 : made by Oswin Erhunmwunse(Providence) 0-2,period_1 player_785987667 team_556,False,785987667,1,19:18:00,Oswin Erhunmwunse,Providence,0-2,made,92.0,51.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
2,2823108445,9.0,57.0,285,True,1st 18:53:00 : made by Joe Nugent(Holy Cross) 2-2,period_1 player_785987676 team_285,False,785987676,1,18:53:00,Joe Nugent,Holy Cross,2-2,made,91.0,-7.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
3,2823108447,89.0,3.0,556,False,1st 18:23:00 : missed by Jason Edwards(Providence) 2-2,period_1 player_785987665 team_556,False,785987665,1,18:23:00,Jason Edwards,Providence,2-2,missed,89.0,3.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
4,2823108449,25.0,84.0,285,False,1st 18:15:00 : missed by Aidan Richard(Holy Cross) 2-2,period_1 player_785987681 team_285,False,785987681,1,18:15:00,Aidan Richard,Holy Cross,2-2,missed,75.0,-34.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
5,2823108453,89.0,96.0,556,False,"1st 17:54:00 : missed by Corey Floyd, Jr.(Providence) 2-2",period_1 player_785987662 team_556,False,785987662,1,17:54:00,"Corey Floyd, Jr.",Providence,2-2,missed,89.0,96.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
6,2823108455,20.0,11.0,285,False,1st 17:38:00 : missed by Aiden Disu(Holy Cross) 2-2,period_1 player_785987682 team_285,False,785987682,1,17:38:00,Aiden Disu,Holy Cross,2-2,missed,80.0,39.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
7,2823108457,94.0,96.0,556,False,1st 17:30:00 : missed by Jaylin Sellers(Providence) 2-2,period_1 player_785987661 team_556,False,785987661,1,17:30:00,Jaylin Sellers,Providence,2-2,missed,94.0,96.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
8,2823108459,33.0,29.0,285,False,1st 17:21:00 : missed by Aidan Richard(Holy Cross) 2-2,period_1 player_785987681 team_285,False,785987681,1,17:21:00,Aidan Richard,Holy Cross,2-2,missed,67.0,21.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
9,2823108467,94.0,42.0,556,False,1st 16:48:00 : missed by Cole Hargrove(Providence) 2-2,period_1 player_785987664 team_556,False,785987664,1,16:48:00,Cole Hargrove,Providence,2-2,missed,94.0,42.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
10,2823108470,91.0,49.0,556,False,1st 16:44:00 : missed by Cole Hargrove(Providence) 2-2,period_1 player_785987664 team_556,False,785987664,1,16:44:00,Cole Hargrove,Providence,2-2,missed,91.0,49.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
11,2823108472,23.0,8.0,285,False,1st 16:39:00 : missed by Joe Nugent(Holy Cross) 2-2,period_1 player_785987676 team_285,False,785987676,1,16:39:00,Joe Nugent,Holy Cross,2-2,missed,77.0,42.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
12,2823108474,90.0,64.0,556,True,1st 16:31:00 : made by Jason Edwards(Providence) 2-4,period_1 player_785987665 team_556,False,785987665,1,16:31:00,Jason Edwards,Providence,2-4,made,90.0,64.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
13,2823108483,93.0,44.0,556,True,1st 16:03:00 : made by Jaylin Sellers(Providence) 4-6,period_1 player_785987661 team_556,False,785987661,1,16:03:00,Jaylin Sellers,Providence,4-6,made,93.0,44.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
14,2823108484,13.0,41.0,285,True,1st 15:47:00 : made by Gabe Warren(Holy Cross) 6-6,period_1 player_785987678 team_285,False,785987678,1,15:47:00,Gabe Warren,Holy Cross,6-6,made,87.0,9.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
15,2823108485,73.0,73.0,556,False,1st 15:34:00 : missed by Jason Edwards(Providence) 6-6,period_1 player_785987665 team_556,False,785987665,1,15:34:00,Jason Edwards,Providence,6-6,missed,73.0,73.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
16,2823108487,9.0,65.0,285,True,1st 15:19:00 : made by Tyler Boston(Holy Cross) 8-6,period_1 player_785987680 team_285,False,785987680,1,15:19:00,Tyler Boston,Holy Cross,8-6,made,91.0,-15.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
17,2823108488,65.0,51.0,556,False,1st 15:02:00 : missed by Jason Edwards(Providence) 8-6,period_1 player_785987665 team_556,False,785987665,1,15:02:00,Jason Edwards,Providence,8-6,missed,65.0,51.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
18,2823108490,11.0,24.0,285,False,1st 14:52:00 : missed by Aiden Disu(Holy Cross) 8-6,period_1 player_785987682 team_285,False,785987682,1,14:52:00,Aiden Disu,Holy Cross,8-6,missed,89.0,26.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
19,2823108492,89.0,52.0,556,False,1st 14:42:00 : missed by Jason Edwards(Providence) 8-6,period_1 player_785987665 team_556,False,785987665,1,14:42:00,Jason Edwards,Providence,8-6,missed,89.0,52.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
20,2823108494,10.0,45.0,285,False,1st 14:22:00 : missed by Gabe Warren(Holy Cross) 8-6,period_1 player_785987678 team_285,False,785987678,1,14:22:00,Gabe Warren,Holy Cross,8-6,missed,90.0,5.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
21,2823108496,69.0,67.0,556,False,1st 14:10:00 : missed by Jaylin Sellers(Providence) 8-6,period_1 player_785987661 team_556,False,785987661,1,14:10:00,Jaylin Sellers,Providence,8-6,missed,69.0,67.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
22,2823108498,9.0,57.0,285,False,1st 13:50:00 : missed by Aiden Disu(Holy Cross) 8-6,period_1 player_785987682 team_285,False,785987682,1,13:50:00,Aiden Disu,Holy Cross,8-6,missed,91.0,-7.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
23,2823108501,68.0,52.0,556,False,1st 13:44:00 : missed by Duncan Powell(Providence) 8-6,period_1 player_785987663 team_556,False,785987663,1,13:44:00,Duncan Powell,Providence,8-6,missed,68.0,52.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
24,2823108514,23.0,70.0,285,False,1st 13:28:00 : missed by DeAndre Williams(Holy Cross) 8-6,period_1 player_785987675 team_285,False,785987675,1,13:28:00,DeAndre Williams,Holy Cross,8-6,missed,77.0,-20.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
25,2823108517,10.0,55.0,285,False,1st 13:21:00 : missed by Will Aljancic(Holy Cross) 8-6,period_1 player_785987679 team_285,False,785987679,1,13:21:00,Will Aljancic,Holy Cross,8-6,missed,90.0,-5.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
26,2823108520,91.0,53.0,556,True,1st 13:17:00 : made by Ryan Mela(Providence) 8-8,period_1 player_785987666 team_556,False,785987666,1,13:17:00,Ryan Mela,Providence,8-8,made,91.0,53.0,Providence,Holy Cross,2026,HolyCrossProvidence11032025,Home,Q4
