,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823574550,94.0,43.0,620,True,1st 19:31:00 : made by Nolan Minessale(St. Thomas (MN)) 2-2,period_1 player_786031896 team_620,False,786031896,1,19:31:00,Nolan Minessale,St. Thomas (MN,2-2,made,94.0,43.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
1,2823574552,36.0,44.0,610,False,1st 19:02:00 : missed by Mikey Lewis(Saint Mary&#39;s (CA)) 2-2,period_1 player_786031879 team_610,False,786031879,1,19:02:00,Mikey Lewis,Saint Mary&#39;s (CA,2-2,missed,64.0,6.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
2,2823574554,29.0,80.0,610,True,1st 18:54:00 : made by Mikey Lewis(Saint Mary&#39;s (CA)) 2-5,period_1 player_786031879 team_610,False,786031879,1,18:54:00,Mikey Lewis,Saint Mary&#39;s (CA,2-5,made,71.0,-30.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
3,2823574556,93.0,44.0,620,True,1st 18:38:00 : made by Nolan Minessale(St. Thomas (MN)) 4-5,period_1 player_786031896 team_620,False,786031896,1,18:38:00,Nolan Minessale,St. Thomas (MN,4-5,made,93.0,44.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
4,2823574557,6.0,38.0,610,False,1st 18:12:00 : missed by Paulius Murauskas(Saint Mary&#39;s (CA)) 4-5,period_1 player_786031877 team_610,False,786031877,1,18:12:00,Paulius Murauskas,Saint Mary&#39;s (CA,4-5,missed,94.0,12.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
5,2823574559,87.0,50.0,620,True,1st 17:52:00 : made by Nolan Minessale(St. Thomas (MN)) 6-5,period_1 player_786031896 team_620,False,786031896,1,17:52:00,Nolan Minessale,St. Thomas (MN,6-5,made,87.0,50.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
6,2823574562,25.0,83.0,610,True,1st 17:33:00 : made by Mikey Lewis(Saint Mary&#39;s (CA)) 6-8,period_1 player_786031879 team_610,False,786031879,1,17:33:00,Mikey Lewis,Saint Mary&#39;s (CA,6-8,made,75.0,-33.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
7,2823574568,70.0,32.0,620,False,1st 17:10:00 : missed by Nolan Minessale(St. Thomas (MN)) 6-8,period_1 player_786031896 team_620,False,786031896,1,17:10:00,Nolan Minessale,St. Thomas (MN,6-8,missed,70.0,32.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
8,2823574570,8.0,46.0,610,False,1st 16:49:00 : missed by Harry Wessels(Saint Mary&#39;s (CA)) 6-8,period_1 player_786031874 team_610,False,786031874,1,16:49:00,Harry Wessels,Saint Mary&#39;s (CA,6-8,missed,92.0,4.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
9,2823574572,97.0,94.0,620,False,1st 16:41:00 : missed by Nick Janowski(St. Thomas (MN)) 6-8,period_1 player_786031899 team_620,False,786031899,1,16:41:00,Nick Janowski,St. Thomas (MN,6-8,missed,97.0,94.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
10,2823574578,35.0,28.0,610,False,1st 16:21:00 : missed by Joshua Dent(Saint Mary&#39;s (CA)) 6-8,period_1 player_786031880 team_610,False,786031880,1,16:21:00,Joshua Dent,Saint Mary&#39;s (CA,6-8,missed,65.0,22.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
11,2823574580,89.0,49.0,620,False,1st 16:02:00 : missed by Carter Bjerke(St. Thomas (MN)) 6-8,period_1 player_786031888 team_620,False,786031888,1,16:02:00,Carter Bjerke,St. Thomas (MN,6-8,missed,89.0,49.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
12,2823574582,9.0,94.0,610,False,1st 15:50:00 : missed by Joshua Dent(Saint Mary&#39;s (CA)) 6-8,period_1 player_786031880 team_610,False,786031880,1,15:50:00,Joshua Dent,Saint Mary&#39;s (CA,6-8,missed,91.0,-44.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
13,2823574587,13.0,43.0,610,False,1st 15:39:00 : missed by Mikey Lewis(Saint Mary&#39;s (CA)) 6-8,period_1 player_786031879 team_610,False,786031879,1,15:39:00,Mikey Lewis,Saint Mary&#39;s (CA,6-8,missed,87.0,7.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
14,2823574591,12.0,67.0,610,True,1st 15:35:00 : made by Paulius Murauskas(Saint Mary&#39;s (CA)) 6-10,period_1 player_786031877 team_610,False,786031877,1,15:35:00,Paulius Murauskas,Saint Mary&#39;s (CA,6-10,made,88.0,-17.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
15,2823574593,91.0,57.0,620,True,1st 15:16:00 : made by Nick Janowski(St. Thomas (MN)) 8-10,period_1 player_786031899 team_620,False,786031899,1,15:16:00,Nick Janowski,St. Thomas (MN,8-10,made,91.0,57.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
16,2823574596,91.0,59.0,620,True,1st 14:52:00 : made by Nick Janowski(St. Thomas (MN)) 10-10,period_1 player_786031899 team_620,False,786031899,1,14:52:00,Nick Janowski,St. Thomas (MN,10-10,made,91.0,59.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
17,2823574597,6.0,5.0,610,False,1st 14:28:00 : missed by Joshua Dent(Saint Mary&#39;s (CA)) 10-10,period_1 player_786031880 team_610,False,786031880,1,14:28:00,Joshua Dent,Saint Mary&#39;s (CA,10-10,missed,94.0,45.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
18,2823574609,80.0,11.0,620,False,1st 13:56:00 : missed by Jermaine Coleman(St. Thomas (MN)) 10-10,period_1 player_786031893 team_620,False,786031893,1,13:56:00,Jermaine Coleman,St. Thomas (MN,10-10,missed,80.0,11.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
19,2823574611,95.0,55.0,620,False,1st 13:52:00 : missed by Ryan Dufault(St. Thomas (MN)) 10-10,period_1 player_786031887 team_620,False,786031887,1,13:52:00,Ryan Dufault,St. Thomas (MN,10-10,missed,95.0,55.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
20,2823574613,9.0,43.0,610,True,1st 13:42:00 : made by Rory Hawke(Saint Mary&#39;s (CA)) 10-12,period_1 player_786031876 team_610,False,786031876,1,13:42:00,Rory Hawke,Saint Mary&#39;s (CA,10-12,made,91.0,7.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
21,2823574615,68.0,39.0,620,False,1st 13:17:00 : missed by Ryan Lafferty(St. Thomas (MN)) 10-12,period_1 player_786031895 team_620,False,786031895,1,13:17:00,Ryan Lafferty,St. Thomas (MN,10-12,missed,68.0,39.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
22,2823574621,91.0,49.0,620,False,1st 13:05:00 : missed by Ryan Dufault(St. Thomas (MN)) 10-12,period_1 player_786031887 team_620,False,786031887,1,13:05:00,Ryan Dufault,St. Thomas (MN,10-12,missed,91.0,49.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
23,2823574623,26.0,85.0,610,False,1st 12:51:00 : missed by Liam Campbell(Saint Mary&#39;s (CA)) 10-12,period_1 player_786031881 team_610,False,786031881,1,12:51:00,Liam Campbell,Saint Mary&#39;s (CA,10-12,missed,74.0,-35.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
24,2823574631,17.0,49.0,610,True,1st 12:43:00 : made by Mikey Lewis(Saint Mary&#39;s (CA)) 10-14,period_1 player_786031879 team_610,False,786031879,1,12:43:00,Mikey Lewis,Saint Mary&#39;s (CA,10-14,made,83.0,1.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
25,2823574633,73.0,61.0,620,True,1st 12:10:00 : made by Nick Janowski(St. Thomas (MN)) 12-14,period_1 player_786031899 team_620,False,786031899,1,12:10:00,Nick Janowski,St. Thomas (MN,12-14,made,73.0,61.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
26,2823574635,8.0,61.0,610,False,1st 11:48:00 : missed by Paulius Murauskas(Saint Mary&#39;s (CA)) 12-14,period_1 player_786031877 team_610,False,786031877,1,11:48:00,Paulius Murauskas,Saint Mary&#39;s (CA,12-14,missed,92.0,-11.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
27,2823574642,93.0,54.0,620,True,1st 11:35:00 : made by Nick Janowski(St. Thomas (MN)) 14-14,period_1 player_786031899 team_620,False,786031899,1,11:35:00,Nick Janowski,St. Thomas (MN,14-14,made,93.0,54.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
28,2823574644,8.0,54.0,610,True,1st 11:16:00 : made by Andrew McKeever(Saint Mary&#39;s (CA)) 14-16,period_1 player_786031878 team_610,False,786031878,1,11:16:00,Andrew McKeever,Saint Mary&#39;s (CA,14-16,made,92.0,-4.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
29,2823574646,94.0,47.0,620,True,1st 10:48:00 : made by Nick Janowski(St. Thomas (MN)) 16-16,period_1 player_786031899 team_620,False,786031899,1,10:48:00,Nick Janowski,St. Thomas (MN,16-16,made,94.0,47.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
30,2823574647,8.0,95.0,610,False,1st 10:39:00 : missed by Liam Campbell(Saint Mary&#39;s (CA)) 16-16,period_1 player_786031881 team_610,False,786031881,1,10:39:00,Liam Campbell,Saint Mary&#39;s (CA,16-16,missed,92.0,-45.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
31,2823574657,14.0,49.0,610,False,1st 10:00:00 : missed by Paulius Murauskas(Saint Mary&#39;s (CA)) 16-16,period_1 player_786031877 team_610,False,786031877,1,10:00:00,Paulius Murauskas,Saint Mary&#39;s (CA,16-16,missed,86.0,1.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
32,2823574659,6.0,50.0,610,False,1st 09:58:00 : missed by Andrew McKeever(Saint Mary&#39;s (CA)) 16-16,period_1 player_786031878 team_610,False,786031878,1,09:58:00,Andrew McKeever,Saint Mary&#39;s (CA,16-16,missed,94.0,0.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
33,2823574663,4.0,95.0,610,True,1st 09:26:00 : made by Tony Duckett(Saint Mary&#39;s (CA)) 16-19,period_1 player_786031882 team_610,False,786031882,1,09:26:00,Tony Duckett,Saint Mary&#39;s (CA,16-19,made,96.0,-45.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
34,2823574665,73.0,21.0,620,False,1st 09:08:00 : missed by Isaiah Johnson-Arigu(St. Thomas (MN)) 16-19,period_1 player_786031900 team_620,False,786031900,1,09:08:00,Isaiah Johnson-Arigu,St. Thomas (MN,16-19,missed,73.0,21.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
35,2823574667,9.0,54.0,610,False,1st 08:48:00 : missed by Rory Hawke(Saint Mary&#39;s (CA)) 16-19,period_1 player_786031876 team_610,False,786031876,1,08:48:00,Rory Hawke,Saint Mary&#39;s (CA,16-19,missed,91.0,-4.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
36,2823574677,23.0,90.0,610,False,1st 08:15:00 : missed by Rory Hawke(Saint Mary&#39;s (CA)) 16-19,period_1 player_786031876 team_610,False,786031876,1,08:15:00,Rory Hawke,Saint Mary&#39;s (CA,16-19,missed,77.0,-40.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
37,2823574681,93.0,43.0,620,True,1st 08:05:00 : made by Nolan Minessale(St. Thomas (MN)) 18-19,period_1 player_786031896 team_620,False,786031896,1,08:05:00,Nolan Minessale,St. Thomas (MN,18-19,made,93.0,43.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
38,2823574682,9.0,59.0,610,False,1st 07:57:00 : missed by Rory Hawke(Saint Mary&#39;s (CA)) 18-19,period_1 player_786031876 team_610,False,786031876,1,07:57:00,Rory Hawke,Saint Mary&#39;s (CA,18-19,missed,91.0,-9.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
39,2823574692,88.0,50.0,620,True,1st 07:37:00 : made by Nolan Minessale(St. Thomas (MN)) 20-19,period_1 player_786031896 team_620,False,786031896,1,07:37:00,Nolan Minessale,St. Thomas (MN,20-19,made,88.0,50.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
40,2823574693,8.0,4.0,610,False,1st 07:17:00 : missed by Rory Hawke(Saint Mary&#39;s (CA)) 20-19,period_1 player_786031876 team_610,False,786031876,1,07:17:00,Rory Hawke,Saint Mary&#39;s (CA,20-19,missed,92.0,46.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
41,2823574697,17.0,27.0,610,True,1st 06:55:00 : made by Paulius Murauskas(Saint Mary&#39;s (CA)) 20-21,period_1 player_786031877 team_610,False,786031877,1,06:55:00,Paulius Murauskas,Saint Mary&#39;s (CA,20-21,made,83.0,23.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
42,2823574701,9.0,45.0,610,True,1st 06:16:00 : made by Joshua Dent(Saint Mary&#39;s (CA)) 20-23,period_1 player_786031880 team_610,False,786031880,1,06:16:00,Joshua Dent,Saint Mary&#39;s (CA,20-23,made,91.0,5.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
43,2823574702,69.0,62.0,620,False,1st 05:44:00 : missed by Kyle Counts(St. Thomas (MN)) 20-23,period_1 player_786031897 team_620,False,786031897,1,05:44:00,Kyle Counts,St. Thomas (MN,20-23,missed,69.0,62.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
44,2823574716,70.0,26.0,620,False,1st 04:56:00 : missed by Carter Bjerke(St. Thomas (MN)) 20-23,period_1 player_786031888 team_620,False,786031888,1,04:56:00,Carter Bjerke,St. Thomas (MN,20-23,missed,70.0,26.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
45,2823574718,13.0,51.0,610,False,1st 04:28:00 : missed by Joshua Dent(Saint Mary&#39;s (CA)) 20-23,period_1 player_786031880 team_610,False,786031880,1,04:28:00,Joshua Dent,Saint Mary&#39;s (CA,20-23,missed,87.0,-1.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
46,2823574720,70.0,73.0,620,True,1st 04:20:00 : made by Carter Bjerke(St. Thomas (MN)) 23-23,period_1 player_786031888 team_620,False,786031888,1,04:20:00,Carter Bjerke,St. Thomas (MN,23-23,made,70.0,73.0,Saint Mary's (CA),St. Thomas (MN),2026,StThomas(MN)SaintMarys(CA)11032025,Home,Q3
