,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823048609,7.0,43.0,683,True,1st 19:31:00 : made by Quin Gorman(Stony Brook) 0-2,period_1 player_785984594 team_683,False,785984594,1,19:31:00,Quin Gorman,Stony Brook,0-2,made,93.0,7.0,Stony Brook,Farmingdale St.,2026,FarmingdaleStStonyBrook11032025,Home,
1,2823048613,76.0,72.0,27892,False,1st 18:41:00 : missed by Sean Conroy(Farmingdale St.) 0-2,period_1 player_785984600 team_27892,False,785984600,1,18:41:00,Sean Conroy,Farmingdale St.,0-2,missed,76.0,72.0,Stony Brook,Farmingdale St.,2026,FarmingdaleStStonyBrook11032025,Home,
2,2823048615,30.0,27.0,683,True,1st 18:19:00 : made by Richard Goods(Stony Brook) 0-5,period_1 player_785984592 team_683,False,785984592,1,18:19:00,Richard Goods,Stony Brook,0-5,made,70.0,23.0,Stony Brook,Farmingdale St.,2026,FarmingdaleStStonyBrook11032025,Home,
3,2823048619,88.0,27.0,27892,False,1st 17:57:00 : missed by Kentrell Evans(Farmingdale St.) 0-5,period_1 player_785984605 team_27892,False,785984605,1,17:57:00,Kentrell Evans,Farmingdale St.,0-5,missed,88.0,27.0,Stony Brook,Farmingdale St.,2026,FarmingdaleStStonyBrook11032025,Home,
4,2823048621,30.0,68.0,683,False,1st 17:43:00 : missed by Toby Onyekonwu(Stony Brook) 0-5,period_1 player_785984590 team_683,False,785984590,1,17:43:00,Toby Onyekonwu,Stony Brook,0-5,missed,70.0,-18.0,Stony Brook,Farmingdale St.,2026,FarmingdaleStStonyBrook11032025,Home,
5,2823048626,18.0,59.0,683,True,1st 17:09:00 : made by Collin O&#39;Connor(Stony Brook) 0-7,period_1 player_785984593 team_683,False,785984593,1,17:09:00,Collin O&#39;Connor,Stony Brook,0-7,made,82.0,-9.0,Stony Brook,Farmingdale St.,2026,FarmingdaleStStonyBrook11032025,Home,
6,2823048627,72.0,21.0,27892,True,1st 16:55:00 : made by Sean Conroy(Farmingdale St.) 3-7,period_1 player_785984600 team_27892,False,785984600,1,16:55:00,Sean Conroy,Farmingdale St.,3-7,made,72.0,21.0,Stony Brook,Farmingdale St.,2026,FarmingdaleStStonyBrook11032025,Home,
7,2823048629,27.0,20.0,683,False,1st 16:38:00 : missed by Richard Goods(Stony Brook) 3-7,period_1 player_785984592 team_683,False,785984592,1,16:38:00,Richard Goods,Stony Brook,3-7,missed,73.0,30.0,Stony Brook,Farmingdale St.,2026,FarmingdaleStStonyBrook11032025,Home,
8,2823048631,68.0,84.0,27892,False,1st 16:29:00 : missed by Sean Conroy(Farmingdale St.) 3-7,period_1 player_785984600 team_27892,False,785984600,1,16:29:00,Sean Conroy,Farmingdale St.,3-7,missed,68.0,84.0,Stony Brook,Farmingdale St.,2026,FarmingdaleStStonyBrook11032025,Home,
9,2823048639,20.0,23.0,683,False,1st 16:15:00 : missed by Rob Brown III(Stony Brook) 3-7,period_1 player_785984588 team_683,False,785984588,1,16:15:00,Rob Brown III,Stony Brook,3-7,missed,80.0,27.0,Stony Brook,Farmingdale St.,2026,FarmingdaleStStonyBrook11032025,Home,
