,shot_id,x,y,team_id,made,description,meta,flag2,player_id,period,clock,shooter,team_name,score,result,x_std,y_std,main_team,opponent,season,game_id,loc,Quad
0,2823218335,90.0,46.0,112,False,1st 19:45:00 : missed by Aidan Burke(UC San Diego) 0-0,period_1 player_785994179 team_112,False,785994179,1,19:45:00,Aidan Burke,UC San Diego,0-0,missed,90.0,46.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
1,2823218337,29.0,24.0,341,False,1st 19:18:00 : missed by Higgy Katoa(La Verne) 0-0,period_1 player_785994199 team_341,False,785994199,1,19:18:00,Higgy Katoa,La Verne,0-0,missed,71.0,26.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
2,2823218339,95.0,5.0,112,False,1st 19:08:00 : missed by Tom Beattie(UC San Diego) 0-0,period_1 player_785994178 team_112,False,785994178,1,19:08:00,Tom Beattie,UC San Diego,0-0,missed,95.0,5.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
3,2823218341,95.0,97.0,112,True,1st 18:55:00 : made by Aidan Burke(UC San Diego) 0-3,period_1 player_785994179 team_112,False,785994179,1,18:55:00,Aidan Burke,UC San Diego,0-3,made,95.0,97.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
4,2823218343,11.0,52.0,341,False,1st 18:36:00 : missed by Cody Aquino(La Verne) 0-3,period_1 player_785994191 team_341,False,785994191,1,18:36:00,Cody Aquino,La Verne,0-3,missed,89.0,-2.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
5,2823218349,23.0,87.0,341,False,1st 18:15:00 : missed by Ryan Lin(La Verne) 0-5,period_1 player_785994189 team_341,False,785994189,1,18:15:00,Ryan Lin,La Verne,0-5,missed,77.0,-37.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
6,2823218353,67.0,47.0,112,True,1st 17:41:00 : made by Leo Beath(UC San Diego) 0-8,period_1 player_785994176 team_112,False,785994176,1,17:41:00,Leo Beath,UC San Diego,0-8,made,67.0,47.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
7,2823218357,10.0,97.0,341,False,1st 17:19:00 : missed by James Christian(La Verne) 0-8,period_1 player_785994194 team_341,False,785994194,1,17:19:00,James Christian,La Verne,0-8,missed,90.0,-47.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
8,2823218361,8.0,48.0,341,False,1st 17:06:00 : missed by Julian Daaboul(La Verne) 0-8,period_1 player_785994195 team_341,False,785994195,1,17:06:00,Julian Daaboul,La Verne,0-8,missed,92.0,2.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
9,2823218363,95.0,94.0,112,True,1st 16:37:00 : made by Aidan Burke(UC San Diego) 0-11,period_1 player_785994179 team_112,False,785994179,1,16:37:00,Aidan Burke,UC San Diego,0-11,made,95.0,94.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
10,2823218379,91.0,55.0,112,False,1st 16:07:00 : missed by Leo Beath(UC San Diego) 2-11,period_1 player_785994176 team_112,False,785994176,1,16:07:00,Leo Beath,UC San Diego,2-11,missed,91.0,55.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
11,2823218381,94.0,54.0,112,True,1st 16:04:00 : made by Leo Beath(UC San Diego) 2-13,period_1 player_785994176 team_112,False,785994176,1,16:04:00,Leo Beath,UC San Diego,2-13,made,94.0,54.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
12,2823218385,30.0,31.0,341,True,1st 15:34:00 : made by Jackson Gray(La Verne) 5-13,period_1 player_785994197 team_341,False,785994197,1,15:34:00,Jackson Gray,La Verne,5-13,made,70.0,19.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
13,2823218387,76.0,12.0,112,False,1st 15:23:00 : missed by Aidan Burke(UC San Diego) 5-13,period_1 player_785994179 team_112,False,785994179,1,15:23:00,Aidan Burke,UC San Diego,5-13,missed,76.0,12.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
14,2823218389,94.0,59.0,112,True,1st 15:17:00 : made by Ryder Elisaldez(UC San Diego) 5-15,period_1 player_785994183 team_112,False,785994183,1,15:17:00,Ryder Elisaldez,UC San Diego,5-15,made,94.0,59.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
15,2823218391,8.0,48.0,341,True,1st 15:01:00 : made by Kason White(La Verne) 7-15,period_1 player_785994202 team_341,False,785994202,1,15:01:00,Kason White,La Verne,7-15,made,92.0,2.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
16,2823218392,66.0,45.0,112,True,1st 14:48:00 : made by Cade Pendleton(UC San Diego) 7-18,period_1 player_785994175 team_112,False,785994175,1,14:48:00,Cade Pendleton,UC San Diego,7-18,made,66.0,45.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
17,2823218394,3.0,55.0,341,False,1st 14:31:00 : missed by Major Hurley(La Verne) 7-18,period_1 player_785994198 team_341,False,785994198,1,14:31:00,Major Hurley,La Verne,7-18,missed,97.0,-5.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
18,2823218399,33.0,65.0,341,False,1st 14:16:00 : missed by Jackson Gray(La Verne) 7-18,period_1 player_785994197 team_341,False,785994197,1,14:16:00,Jackson Gray,La Verne,7-18,missed,67.0,-15.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
19,2823218414,32.0,54.0,341,True,1st 13:52:00 : made by Kason White(La Verne) 10-18,period_1 player_785994202 team_341,False,785994202,1,13:52:00,Kason White,La Verne,10-18,made,68.0,-4.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
20,2823218416,93.0,51.0,112,True,1st 13:37:00 : made by Alex Chaikin(UC San Diego) 10-20,period_1 player_785994182 team_112,False,785994182,1,13:37:00,Alex Chaikin,UC San Diego,10-20,made,93.0,51.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
21,2823218418,22.0,59.0,341,False,1st 13:20:00 : missed by Percy Whittaker(La Verne) 10-20,period_1 player_785994203 team_341,False,785994203,1,13:20:00,Percy Whittaker,La Verne,10-20,missed,78.0,-9.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
22,2823218420,71.0,11.0,112,True,1st 12:58:00 : made by Cade Pendleton(UC San Diego) 10-23,period_1 player_785994175 team_112,False,785994175,1,12:58:00,Cade Pendleton,UC San Diego,10-23,made,71.0,11.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
23,2823218422,32.0,36.0,341,False,1st 12:39:00 : missed by Kason White(La Verne) 10-23,period_1 player_785994202 team_341,False,785994202,1,12:39:00,Kason White,La Verne,10-23,missed,68.0,14.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
24,2823218428,94.0,58.0,112,False,1st 12:31:00 : missed by Hudson Mayes(UC San Diego) 10-23,period_1 player_785994185 team_112,False,785994185,1,12:31:00,Hudson Mayes,UC San Diego,10-23,missed,94.0,58.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
25,2823218431,67.0,67.0,112,False,1st 12:22:00 : missed by Cade Pendleton(UC San Diego) 10-23,period_1 player_785994175 team_112,False,785994175,1,12:22:00,Cade Pendleton,UC San Diego,10-23,missed,67.0,67.0,UC San Diego,La Verne,2026,LaVerneUCSanDiego11032025,Home,
